price,duration,wait_time
18.58,28.51,8.84
12.13,16.99,8.02
12.91,14.28,2.5
17.3,25.48,3
19.89,30.08,2.71
24.38,44.21,4.36
11.13,14.14,4.26
16.3,21.67,6.85
22.08,36.81,1.54
18.32,25.78,1.64
24.09,40.12,10.01
20.55,32.07,2.51
21.61,32.43,4.14
21.36,36.25,4.75
21.41,30.91,2.06
25.92,38.36,6.22
12.93,17.88,10.21
22.54,38.19,2.73
21.67,32.31,2.03
22.58,38.65,1.79
20.31,32.53,1.92
13.98,16.25,4.22
31.9,56.65,5.05
16.62,21.73,7.34
22.31,33.7,1.68
18.71,27.63,3.62
18.74,27.56,1.95
20.32,30.31,7.03
19.6,29.6,6.09
16.54,23.65,5.34
16.64,23.03,2.92
19.84,32.57,2.51
11.04,10.66,2.49
25.87,43.47,4.55
23.47,36.88,4.79
32.74,60.73,5.82
19.49,32.28,2.61
25.28,45.63,9.77
18.24,27.41,2.02
18.78,31.93,4.24
8.82,10.17,1.53
15.35,25.03,2.94
12.85,14.06,2.42
17.47,25.66,2.06
16.53,21.48,5.08
19.19,31.86,5.58
19.61,33.17,3.04
17.21,26.32,5.39
17.51,26.44,2
18.58,28.03,3.31
20.59,33.04,2.24
17.75,25.09,1.7
21.39,34.53,1.86
20.48,28.32,1.7
25.66,44.88,3.9
14.16,20.76,8.21
23.34,37.93,1.89
16.32,21.28,10.05
20.44,31.43,3.28
25.34,42.6,5.57
25.18,41.27,7.65
26.77,42.52,2.35
28.44,47.15,3.19
19.16,31.59,2.02
13.55,19.5,2.03
16.7,24.29,2.05
21.53,34.52,4.51
22.02,32.14,2.32
18.6,29.17,20.22
18.22,22.77,2.7
19.34,25.41,8.27
14.59,18.94,7.83
20.07,33.79,5.59
15.49,17.57,2.76
23.26,38.72,4.16
15.88,22.26,17.57
20.92,32.57,1.78
27.13,46.29,6.56
20.01,32.33,2.6
25.46,37.8,4.13
10.03,12.12,5.95
18.24,28.89,1.55
23.08,36.17,2.97
15.01,24.14,13.13
17.4,25.61,3.76
16.63,25.12,3.44
18.92,28.85,3.12
23.24,36.1,1.73
24.57,42.57,3.46
22.52,36.17,2.68
17.61,26.96,2.69
15.62,21.71,6.64
25.33,41.83,1.99
13.51,20.57,4.78
20.08,32.15,6.81
19.67,31.48,13.39
22.4,35.15,8.43
23.47,38.76,3.16
21.26,32.59,10.04
18.53,28.92,8.41
