price,duration,wait_time
13.22,17.76,5.67
14.42,19.91,1.94
9.4,9.97,2.86
21.19,32.15,2.38
24.3,41.25,4.01
20.93,34.66,4.61
17.4,25.61,3.76
25.64,43.73,2.36
24.67,42.31,2.76
13.12,13.07,6.23
14.26,20.75,1.96
25.23,42.33,4.93
27.4,46.86,12.64
16.69,27.04,6.45
22.65,42.03,5.22
30.8,57.79,1.53
29.66,51.1,1.89
21.4,37.06,3.19
17.92,24.88,2.33
21.15,34.91,2.22
22.22,36.49,2.16
19.8,32.06,5.61
21.06,32.02,5.74
21.57,34.57,9.1
22.37,36.43,3.74
20.59,29.93,10.64
20.55,31.88,2.59
17.23,26.7,2.64
26.51,44.77,2.26
30.39,54.05,1.93
24.96,41.26,6.51
19.46,30.72,3.63
27.18,43.37,2.71
24.16,36.88,3.38
27.01,47.39,5.26
17.11,26.08,1.68
17.31,28.52,2.7
13.65,17.42,1.57
13.48,20.37,5.6
19.23,31.92,7.14
16.76,22.21,4.12
24.85,39.97,3.78
18.23,28.44,3.14
19.64,33.44,2.63
20.03,26.88,2.14
22.75,37.99,1.75
14.96,19.94,2.75
22.34,38.36,1.74
21.41,34.36,4.81
22.7,39.41,1.5
19.28,26.74,5.03
14.46,22.78,1.98
24.97,38.41,4.18
12.63,12.32,1.79
21.89,33.98,4.39
20.98,36.7,3.25
23.04,36.72,11.99
15.37,18.6,1.94
23.04,33.59,4.05
21.11,34.59,8.23
21.99,33.27,4.46
26.04,44.17,3.07
19.46,29.32,2.3
20.37,30.62,4.06
21.85,34.93,2.13
9.59,6.97,7.8
31.68,50.78,1.89
15.45,21.01,8.95
20.56,34,3.57
22,35.12,3.66
15.98,20.69,4.02
21.67,36.99,1.66
13.42,17.91,4.18
23.34,38.67,4.19
18.84,27.98,4.23
17.18,22.45,1.57
15.94,22.5,3.71
30.75,54.41,7.72
14.53,17.74,3.78
14.51,18.74,2.09
22.5,35.91,4.37
8.56,6.33,4.6
26.97,46.59,1.52
14.08,21.17,1.88
20.99,31.3,2.19
31,53.04,2.15
20.54,35.47,2.63
25.71,43.8,8.72
20.03,30.08,2.06
15.65,22.13,7.91
19.82,31.12,3.83
17.18,30.37,2.57
18.55,27.12,10.93
23.67,39.1,7.02
16.75,29.13,2.53
21.14,29.72,2.22
19.06,28.41,1.96
21.05,33.86,7.67
12.64,22.08,5.49
19.35,32.35,2.86
