price,duration,wait_time
21.53,35.38,3.53
16.4,23.95,2.43
13.93,17.25,2.6
11.85,13.94,2.18
22.25,33.57,1.65
22.94,45.01,6.66
22.76,37.43,6.31
25.99,42.21,5.13
17.44,25.65,4.17
18.75,28.75,4.3
21.9,37.31,2.7
9.4,5.68,5.22
22.17,35.26,2.26
15.35,20.77,1.7
23.27,40.96,2.14
18.19,29.25,1.59
22.6,34.3,5.65
14.07,18.26,2.45
23.69,38.08,1.54
15.45,23.78,5.37
15.81,20.75,9.66
16.56,25.03,3.07
20.99,31.05,6.91
20.98,31.72,7.66
23.59,39.53,2.63
15.95,24.41,6.02
29.37,49.68,3.52
18.52,28.68,12.14
15.52,25.93,5.41
22.22,39.34,2.47
27.7,46.38,2.78
21.24,32.5,4.9
20.4,35.23,1.64
14.96,22.94,7.61
23.75,39.79,1.66
17.58,24.69,1.58
14.77,21.5,8.89
19.27,29.72,2.8
21.97,34.86,8.22
22.51,34.42,7.73
20.28,31.88,2.58
20.34,34.57,5.04
16.56,20.35,5.46
25.04,42.26,1.68
23.82,40.17,1.62
20.26,30.85,6.59
21.12,36.36,4.18
18.1,25.32,3.33
17.13,26.26,2.17
25.12,43.03,4.64
21.75,36.28,6.68
16.65,24.25,3.18
20.46,31.26,5.16
18.59,28.7,1.59
24.13,37.07,6.08
22.3,35.92,5.18
15.65,24.09,5.12
23.03,37.48,5.94
28.14,45.87,1.56
16.42,24.16,1.77
27.44,47.75,1.56
17.56,25.96,3.95
14.69,21.52,6.51
14.26,21.55,1.78
13.04,13.26,3.89
18.26,26.56,1.6
13.54,18.18,4.36
17.55,28.51,1.54
16.51,25.55,7.57
28.7,47.45,3.69
22.71,37.43,3.66
13.09,18.67,4.26
23.08,35.09,4.64
15.89,21.36,1.56
24.29,41.4,3.68
18.17,31.85,2.17
15.88,21.75,1.77
17.77,27.5,3.27
22.17,37.87,1.68
17.33,26.77,4.42
19.14,30.56,2.79
26.67,47.2,2.84
20.34,34.92,13.68
18.74,27.93,2.63
15.1,17.86,3.76
16.86,26.7,3.49
16.86,21.5,11.74
18.93,27.03,2.6
22.08,35.62,3.59
19.94,32.64,8.25
28.65,50.7,5.96
22.92,40.69,3.42
19.17,30.46,3.48
17.93,28.15,2.84
13.02,15.58,5.53
31.7,54.49,2.88
18.24,25.8,5.41
21.53,31.58,2.27
25.93,43.74,3.82
20.81,33.13,5.14
