price,duration,wait_time
24.73,41.59,3.74
25.39,45.87,2.39
15.33,20.9,3.29
17.62,26.72,3
23.96,41.64,1.84
16.47,25.66,6.17
22.2,35.03,1.85
12.65,17.75,2.43
22.86,35.42,6.39
23.32,36.64,3.73
15.29,20.53,2.85
24.04,39.3,4
22.53,36.18,2.35
18.2,27.19,2.8
29.02,52.52,2.85
5.74,3.03,5.06
24.83,41.26,2.5
18.37,27.48,2.88
17.66,28.38,3.66
11.33,14.81,2.23
15.48,21.09,3.18
17,26.77,1.55
28.48,48.39,3.09
24.16,38.1,2.49
21.24,31.56,1.69
22.86,36.61,4.04
22.91,34.39,6.69
17.95,28.94,5.15
21.29,31.86,5.38
15.1,18.39,3.84
13.81,15.21,4.91
22.03,35.63,3.72
23.35,35.4,1.8
18.27,24.91,2.16
20.91,28.9,3.04
14.45,19.1,6.72
22.25,34.73,6.95
20.45,32.59,2.08
19.78,30.61,4.54
18.93,27.08,9.34
21.49,33.66,1.8
15.63,17.8,4.06
23.98,41.6,3.87
18.09,26.46,2.12
20.63,33.59,3.19
14.28,18.34,3.05
23.14,42.16,5.04
28.02,49.26,3.28
20.03,34.16,7.32
14.29,23.02,5.86
17.8,25.79,11.66
24.4,40.24,8.71
20.43,34.67,3.3
24.22,41.9,3.76
12.9,12.9,6.09
25.5,40.54,2.39
17.2,22.15,10.59
7.55,5.6,10.79
25.39,40.39,1.94
22.12,34,1.98
17.08,21.45,3.17
25.15,40.42,1.88
19.01,27.41,2.85
16.75,25.56,3.66
28.86,52.69,2.49
25.45,46,2.07
12.94,16.8,1.52
16.48,21.37,3.12
25.94,47.35,2.36
19.79,30.87,5.97
17.65,27.52,2.44
18.57,29.01,2.31
17.06,21.84,2.37
21.37,36.79,4.74
18.3,26.6,7.67
18.01,27.23,2.67
24.07,38.19,3.56
17.34,24.89,4.89
15.67,19.58,3.16
22.76,37.34,5.48
21.37,32.57,2.66
24.23,37.96,1.93
24.19,39.9,6.36
19.61,30.3,4.82
19.41,31.45,3.71
15.58,20.45,3.06
14.13,19.48,3.69
22.64,36.14,10.45
20.46,32.07,1.65
13.73,17.5,2.48
15.92,21.91,4.25
19.54,32.08,7.58
26.58,47,1.83
13.78,17.97,2.6
26.54,42.72,1.83
18.82,28.67,6.49
22.87,36.11,9.92
20.77,32.86,8.49
21.92,38.96,6.72
25.7,44.23,3.28
