price,duration,wait_time
24.23,38.47,8.24
21.31,33.19,6.87
28.3,48.64,3.89
23.18,37.17,1.6
12.15,16.83,2.12
21.57,32.07,3.67
20.4,34.38,2.1
19.13,35.58,5.16
14.25,20.23,2.66
17.73,25.9,4.21
19.42,27.23,4.16
17.99,30.6,5.4
11.3,11.35,4.22
21.78,34.72,1.56
15.94,19.63,2.35
22.16,32.65,3.45
27.32,43.58,1.52
12.82,16.07,4.39
17.28,24.94,14.63
20.93,33.56,2.87
19.49,30.12,2.51
14.09,18.94,5.12
23.75,41.21,5.29
18.98,28.52,7.42
22.83,32.61,1.89
20.79,34.47,5.88
19.2,29.75,3.99
27.28,47.49,5.3
21.05,33.86,7.67
17.93,24.85,7.18
29.75,48,1.54
20.32,28.95,4.9
17.02,23.59,3.27
19.32,28.66,2.48
19.8,30.64,3.31
14.95,20.54,2.04
17.52,29.25,1.76
11.55,16.76,2.95
19.68,27.18,5.84
14.53,17.14,2.88
16.38,23.24,1.94
14.18,16.27,7.98
26.7,43.44,1.74
18.83,29.21,3.08
23.3,34.64,3.92
32.95,58.14,2.63
18.8,28.45,3.57
19.29,29.63,2.92
17.43,24.8,2.3
14.97,19.76,2.3
27.28,46.78,7.03
25.44,44.59,9.37
15.1,19.55,8.66
11.28,10.4,5.86
27.04,45.39,4.46
20.42,32.75,2.88
17.51,26.7,4.42
23.21,36.32,5.61
22.47,37.37,3.6
11.61,9.76,2.54
20.7,31.5,3.15
28.52,45.26,1.69
15.78,21.89,2.83
22.93,37.8,1.8
20.19,30.39,5.49
19.16,28.2,1.66
17.65,26.12,2.71
19.61,30.34,7.25
17.91,26.49,3.22
12.93,15.5,3.53
16.35,21.89,4.4
18.16,27.08,6.52
12.08,14.35,2.13
29.98,51.86,2.68
15.08,21,5.89
14.84,23.34,4.44
22.54,37.82,2.22
16.38,26.3,2.01
15.95,22.36,1.6
23.85,40.56,1.72
29.09,54.32,2.97
27.14,41.17,2.14
19.64,29.81,1.83
27.87,48.21,5.88
26.02,44.17,4.71
14.06,22.19,2.24
20.64,31.83,3.43
20.39,33.24,2.08
15.26,27.11,7.02
20.17,29.68,4.27
14.22,16.6,2
14.46,21.93,1.7
20.43,34.23,8.17
28.56,47.19,6.65
23.68,36.8,2.97
22.92,37.35,2.67
16.25,24.78,4.9
21.43,30.99,2.1
17.72,25.2,2.56
14.27,18.76,2.91
