price,duration,wait_time
20.24,32.14,1.62
14.82,19.08,1.62
20.21,30.87,2.86
12.13,13.21,4.48
14.5,17.81,2.47
26.07,41.44,4.2
22.35,38.98,5.88
23.57,37.2,10.81
22.19,36.74,5.15
18.65,26.28,2.75
25.26,37.63,13.09
26.44,43.1,6.76
29.82,50.97,2.2
16.35,28.91,3.73
15.78,24.57,9.44
20.47,33.63,4.64
16.69,22.1,3.56
11.75,13.67,8.46
16.45,23.72,2.49
19.31,29.14,2.37
22.87,39.71,4.61
20.97,36.39,2.09
18.67,31.94,6.5
20.99,31.08,4.27
10.82,11.06,4.09
24.84,39.08,10.97
18.67,25.79,3.71
18.66,28.51,2.01
27.52,46.47,2.09
18.86,30.64,4.55
17.31,22.68,3.83
17.19,22.86,1.54
14.54,22.46,3.24
24.88,37.8,9.06
19.13,26.34,5.32
25.14,44.4,3.34
24.5,39.25,5.04
21.46,30.89,1.86
18.7,28.91,3.7
16.56,21.51,3.82
19.4,31.35,3.39
15.43,21.79,13.41
13.72,18.38,1.86
26.42,40.94,1.94
13.84,19.48,9.01
15.3,21.51,2.42
25.79,39.74,2.96
25.18,43.98,4.04
15.83,19.21,4.6
16.91,25.19,1.72
22.01,33.02,14.37
18.72,26.83,1.98
27.32,45.15,3.05
24.97,38.41,4.18
13.92,19.28,3.17
35.84,68.09,3.59
9.18,10.51,4.91
22.02,35.3,7.14
23.65,35.35,4.99
14.68,21.84,4.32
20.65,33.74,3.16
18.32,26.25,3.88
19.44,30.54,5.42
24.07,40.56,11.32
30.45,52.17,4.43
16.54,25.15,2.78
21.62,30.18,1.54
17.25,23.99,2.81
26,43.21,5.8
19.99,36.69,2.08
22.88,37.57,4.12
20.05,28.63,6.96
15.65,19.39,2.25
16.13,25.41,4.45
15.11,23.41,1.72
19.77,30.99,1.67
16.64,22.71,11.57
29.5,54.32,2.18
24.95,39.01,3.28
21.8,36.42,2.44
15.47,20.31,6.7
16.95,25.24,2.29
17.68,28.14,3.91
23.77,39.67,2.9
12.24,17.12,6.92
22.29,36.5,3.34
16.88,21.36,2.6
16.57,23.52,2.25
22.43,32.06,6.13
24.56,43.27,5.44
22.8,37,1.62
19.25,31.45,3.84
22.39,38.85,1.5
17.44,22.96,1.93
16.39,27.39,6.88
27.11,46.4,6.8
22.93,37.38,3.38
20.59,29.93,10.64
17.65,25.44,1.71
14.12,20.84,4.55
