price,duration,wait_time
18.18,28.24,3.27
21.51,39.85,2.46
17.02,26.74,4.24
24.1,39.51,1.77
17.23,25.64,4.17
18.38,28.21,4.54
24.21,40.76,4.04
26.64,52.54,1.52
19.26,28.65,3.14
23.71,38.03,7.11
18.18,24.91,3.25
17.87,27.6,3.96
23.9,37.17,3.62
20.56,31.57,3.53
23.67,41.87,3.47
14.13,19.66,5.51
24.64,42.79,6.17
15.92,23.28,2.51
23.64,39.61,2
23.57,37.84,6.52
16.1,23.45,2.98
21.48,34.77,2.67
24.52,43.32,1.84
19.41,28.89,8.15
23.57,42.23,3.36
21.54,35.81,2.91
19.42,29.82,6.03
24.34,39.23,2.02
16.65,28.32,3.66
18.91,31.75,4.02
16.79,23.93,3.2
18.81,33.38,1.83
23.81,39.34,9.44
19.9,34.95,3.87
21.76,33.93,2.41
19.12,27.28,3.7
28.01,47.37,5.51
16.01,25.31,3.64
11.28,16.02,1.73
15.73,21.59,6.63
18.55,29.14,3.32
25.34,43.23,2.95
20.34,33.83,4.25
19.49,30.47,4.97
23.33,38.2,4.4
24.17,38.56,4.4
16.21,23.19,5.77
22.59,36.34,5.49
19.84,31.24,6.59
13.74,19.02,7.69
24.34,43.37,6.7
15.27,18.92,2.13
15.6,22.44,2.1
18.16,28.52,1.6
17.63,27.32,1.74
17.2,22.71,6.92
22.13,38.33,2.53
26.93,46.04,3.96
21.4,32.74,5.69
22.77,35.7,3.1
15.83,19.76,2.72
26.02,45.85,6.3
12.64,20.38,3.05
11.14,9.18,12.09
13.11,15.01,5.24
21.6,31.45,5.06
22.65,36.97,2.68
19.91,34.42,5.17
13.74,16.75,2.8
13.81,19.66,2.68
12.78,16.39,4.89
16.91,24.62,1.53
17.66,26.63,2.68
14.29,17.14,5.89
20.36,32.81,2.18
19.53,26.69,5.77
9.59,4.74,2.72
12.27,15.01,1.97
14.81,23.27,1.86
17.91,29.26,4.26
30.09,51.29,3.83
21.05,35.99,3.79
14.3,20.63,2.7
20.22,29.21,3.78
19.62,30.56,4.58
20.37,28.31,6.74
22.67,38.11,4.74
17.69,27.61,1.57
12.08,12.86,1.69
16.13,24.63,3.78
13.85,12.7,5.61
18.87,27.43,4.78
12.11,18.33,3.73
22.7,35.92,16.91
19.72,31.12,7.57
23.32,36.64,3.73
26.03,40.07,2.43
22.11,37.41,3.1
29.18,50.49,9.27
28.23,50.98,3.65
