price,duration,wait_time
16.04,24.66,4.48
15.96,20.71,2.59
26.36,43.22,2.01
25.27,43.18,10.85
27.16,46,1.56
12.07,16.17,7.48
25.27,39.98,4.14
23.09,35.76,4.28
20.68,31.22,2.54
15.03,26.2,4.35
16.05,22.66,2.72
19.25,31.42,3.58
24.4,36.54,1.92
28.82,45.72,2.87
15.12,20.68,3.82
15.48,19.9,4.88
13.67,18.42,2.32
23.05,41.15,6.34
18.87,27.94,5.96
11.69,14.59,2.07
18.9,29,4.32
18.23,25.43,2.21
19.83,32.73,4.44
16.15,24.89,2.66
23.44,37.91,5.13
25.88,44.95,1.8
17.85,22.11,3.08
19.23,28.24,4.47
24.5,40.37,2.08
16.97,24.85,4.51
17.32,26.89,2.93
15.11,21.54,1.7
21.06,34.49,3.79
21.46,35.64,1.51
17.83,22.36,2.77
19.89,31.76,6.39
14.34,20.3,1.56
15.19,24.69,1.9
14.43,22.31,2.9
14.95,21.26,6.45
18.87,25.16,9.62
20.75,30.71,3.22
29.57,51.78,5.98
19.86,31.57,5.29
21.64,31.52,3.61
20.12,33.83,2.32
12.62,17.9,8.98
20.62,34.48,2.61
12.99,15.4,5.19
21.03,32.08,5.04
15.9,22.47,4.83
15.25,21.4,1.94
20.52,33.31,3.13
26.51,43.39,2.82
17.39,30.37,3.25
15.29,18.58,2.03
18,29.67,5.56
16.77,24.08,1.65
20.36,33.63,2.64
18.64,28.4,2.28
17.14,26.66,1.93
25.43,40.99,10.66
26.86,47.31,2.39
25.06,43.25,2.53
12.9,15.96,16.56
29.27,51.54,9.15
27.88,49.13,3.46
18.27,26.6,3.57
23.64,40.35,1.61
23.92,41.48,19.85
15.56,23.74,6.73
16.5,23.2,5.39
19.14,25.1,1.85
25.67,42.38,4.9
28,50.44,3.83
25.56,42.53,3.01
14.67,22.13,2.7
20.9,35.63,1.97
13.64,17.12,2.43
13.6,18.85,2.59
18.69,26.13,3.33
23.66,36.19,2.03
22.57,35.15,5.12
12.15,16.95,5.23
21.05,35.18,7.7
21.53,32.99,1.57
22.9,37.42,6.27
19.76,28.99,6.94
22.89,39.63,3.3
12.92,14.96,4.05
18.1,30.23,4.25
23.54,41.12,2.75
20.28,32.88,14.19
22.95,37.54,5.74
27.83,46.99,3.23
15.94,26.32,3.19
23.55,38.23,2.36
23.14,36.75,2.5
21.1,36.36,1.77
28.8,47.82,4
