price,duration,wait_time
26.76,49.29,3.7
23.12,33.14,10.43
29.35,50.53,1.9
24.72,40.29,7.73
16.43,24.64,5.84
23.24,39.56,7.15
19.99,34.7,10.05
20.72,33.19,9.38
27.34,53.44,7.39
24.18,38.95,7.05
24.8,43.05,2.03
26.23,42.08,3.92
24.01,35.96,2.18
11.64,8.64,3.71
19.35,32.46,3.7
15.26,23.01,1.82
25.41,43.94,7.92
25.56,41.86,12.42
19.86,28.61,6.08
13.5,18.07,1.58
21.84,35.99,2.57
9.42,13.37,6.18
10.05,8.27,3.52
13.56,20.42,5.02
18.52,27.92,6.56
21.29,34.85,6.84
21.44,30.64,5.25
15.26,20.76,9.14
16.44,22.14,2.99
17.8,26.63,5.05
22.31,33.58,4.34
21.26,32.86,6.06
21.84,38.15,4.59
23.2,40.59,5.25
19.29,29.63,2.92
29.93,52.62,2.38
15.05,21.38,6.87
13.4,14.92,6.72
10.84,9.83,2.73
22.92,34.94,7.03
16.83,22.73,5.31
17.31,25.86,4.22
14.62,20.81,4.45
27.96,47.93,20.08
18.46,29.54,1.58
13.79,18.37,2.47
26.87,48.27,8.23
22.7,34.04,6.4
17.82,24.83,5.18
24.76,40.12,1.6
20.51,31.81,1.65
22.83,37.92,5.02
15.43,22.45,4.55
14.32,18.7,4.02
17.42,25.47,6.84
22.71,37.35,3.31
23.56,37.47,2.86
18.07,30.98,2.93
22.57,33.3,7.37
28.75,50.46,4.68
14.9,22.32,12.78
16.17,24.42,4.1
13.59,15.41,7.05
21.76,36.68,10.94
18.98,27.81,3.74
22.26,35.12,8.55
13.65,15.07,9.29
13.39,17.05,1.79
25.98,38.94,2.05
21.38,38.98,4.82
15.95,21.39,2.82
17.65,27.52,2.44
27.82,47.29,1.54
16.14,22.79,5.12
14.35,22.88,3.27
27.1,44.88,7.55
21.52,37.82,3.28
19.88,24.9,4.51
15.87,23.12,2.19
24.08,39.21,1.72
16.15,23.22,16.45
19.06,29.27,5.1
11.98,13.88,3.29
23.46,38.63,6.26
21.57,34.83,2.88
21.9,34,6
23.28,35.52,3.1
21.55,37.43,5.32
9.94,10.65,5.34
22.98,36.09,10.92
23.66,40.54,3.1
23.18,40.86,2.39
20.99,35.28,3.95
19.2,29.86,6.21
22.83,41.38,2.18
26.37,42.46,12.18
19.02,28.56,8.41
29.47,50.82,1.85
21.62,39.61,5.8
16.24,27.29,8.89
