price,duration,wait_time
8.89,8.63,2.14
25.31,42.73,2.5
10.24,13.18,3.59
14.4,16.13,1.57
12.56,16.88,2.89
19.97,32.69,3.17
22.39,38.48,2.99
12.51,18.17,3.24
25.1,43.64,2.21
21.99,39.23,1.79
17.06,20.32,3.65
15.86,19.72,3.53
28.44,51.47,7.18
28.82,50.61,8.33
17.71,25.27,5.37
27.35,44.97,2.69
17.89,21.87,5.57
15.83,23.64,3.77
21.28,33.11,4.25
18.34,25.15,6.96
25.43,42.21,3.59
23.55,33.83,5.74
17.42,23.77,4.56
22.21,35.88,1.91
15.49,24.21,3.5
19.03,29.99,7.98
12.61,13.96,2.34
23.29,36.04,2.07
25.52,40.91,2.51
16.6,26.54,1.65
19.85,31.75,6.88
19.66,30.71,2.91
13.76,19.64,10.82
24.56,41.15,8.8
14.91,17.21,6.13
23.23,37.27,4.92
16.18,24.46,6.43
26.88,46.1,2.76
19.41,31.86,1.83
21.68,36.76,3.02
22.64,32.82,1.9
16.08,22.22,1.58
14.4,22.08,2.85
24.82,42.94,7.13
21.72,37.29,3.76
21.78,37.09,4.12
18.52,30.12,3.09
21.74,31.98,4.42
26.15,44.16,8.28
25.36,44.96,1.85
22.34,37.41,2.09
7.92,9.01,4.67
15.07,21.07,5.14
17.28,22,5.29
15.36,24.19,7.95
23.73,40.05,1.7
9.61,9.18,5.77
20.11,32.56,9
12.71,14.36,1.93
16.58,24.52,2.71
18.14,27.22,1.76
19.07,24.49,1.78
22.27,36.29,7.97
20.81,35.25,7.92
21.35,33.14,4.8
23.96,41.64,1.84
28.6,46.47,1.6
25.79,40.02,2.56
20.31,31.64,4.98
25.69,41.53,10.02
17.28,27.08,3.8
26.46,43.55,4
16,16.99,2.62
17.9,27.38,6.05
15.01,24.14,13.13
14.62,20.81,4.45
22.27,38.35,7.51
22.66,39.75,4.43
16.14,25.44,2.12
19.45,29.17,5.24
24.02,44.1,7.33
21.51,34.34,5.34
25.56,44.38,3.1
19.96,29.98,3.29
16.86,25.96,1.71
24.36,43.16,5.62
17.96,25.63,3.51
19.85,34.21,1.82
18.74,27.94,2.36
30.35,55.03,3.77
15.22,23.51,12.36
12.38,14.68,5.23
15.28,22.13,3.24
17.67,24.52,5.41
21.79,33.47,1.68
15.37,21.7,3.48
21.92,36.04,8.87
22.39,34.73,1.82
25.52,41.66,2.49
24.15,38.58,2.14
