price,duration,wait_time
20.56,35.38,2.96
18.04,29.85,3.83
17.14,25.99,3.94
19.8,31.2,3.08
24.39,40.14,3.11
27.09,47.05,3.02
14.65,19.9,4.27
26.29,44.06,11.7
19.95,33.98,2.74
22.91,36.79,2.38
18.37,28.81,1.64
20.41,30.9,5.27
28.63,51.99,2.25
11.89,16.7,4.01
12.5,16.78,6.39
18.61,27.22,7.34
14.22,14.04,2.49
17.46,27.02,8.49
14.55,17.74,1.89
23.31,35,6.78
14.98,23.99,2.69
13.11,14.05,4.93
16.69,26.21,4.01
20.18,30.23,4.93
12.23,12.92,1.75
23.3,36.06,4.49
24.18,41.45,7.54
10.43,12.86,1.92
8.61,7.93,2.47
17.99,27.33,5.44
27.82,48.05,2.78
24.85,39.17,1.71
18.71,28.83,3.51
14.59,18.42,9.66
24.16,43.77,4.44
11.95,17.86,5.91
20.61,33.62,5.35
19.8,30.5,2.53
19.98,29.9,4.24
25.59,44.09,6.22
20.04,30.46,3.45
10.53,10.18,3.69
30.97,55.49,8.11
22.83,35.95,3.05
22.08,35.91,6.28
16.15,23.27,4.11
18.74,29.11,5.48
18.28,28.05,15.1
23.51,43.02,2.41
18.28,24.99,6.38
20.46,32.31,2.73
20.73,32.2,2.4
14.83,19.86,3.2
16.74,24.59,13.67
21.87,37.45,1.83
19.93,29.48,2.37
13.7,14.38,21.91
15.98,24.97,5.81
31.39,52.71,7.04
11.79,13.18,10.07
18.26,27.35,4.85
18.15,29.92,6.44
24.12,42.43,1.68
19.65,29.84,4.44
21.82,38.65,2.06
12.62,17.13,4.61
21.37,32.82,5.08
19.11,27.14,21.39
16.79,23.88,6.36
11.84,15.3,6.68
18.7,31.6,2.87
13.91,18.76,5.45
25.17,43.9,3.19
24.32,40.48,1.85
19.12,30.46,3.78
18.95,30.36,2.13
14.99,21.93,3.83
11.45,13.99,5.07
14.01,18.22,4.92
23.85,38.48,1.94
10.17,10.29,1.54
21.83,33.01,2.59
20.23,32.19,3.22
22.91,37.61,3.74
22.15,35.15,6.2
18.92,26.46,2.74
25.86,41.12,2.38
18.23,27.12,7.06
10.87,10.69,1.91
18.98,26.3,6.98
25.53,40.98,2.11
25.79,43.59,1.86
18.57,24.07,2.15
12.63,16.65,2.17
24.73,42.05,1.57
26.67,48.86,6.84
17.95,25.57,8.11
27.76,52.73,3.36
17.99,27.28,2.69
18.42,27.19,2
