price,duration,wait_time
23.52,38.92,1.55
14.24,19.1,1.72
14.08,17.28,6.87
20.58,34.32,3.41
20.24,33.01,2.45
17.26,23.61,7.35
21.41,32.67,3.92
18.23,27.92,5.79
24.71,45.4,9.36
21.64,31.96,2.36
19.19,29.23,4.08
15.58,24.04,3.21
16.72,21.56,5.64
19.07,31.85,1.94
17.51,28.12,9.95
19.8,27.66,6.56
32.39,58.21,2.16
24.51,38.32,8.78
13.11,15.43,3.97
15.44,19.7,5.89
16.44,24.51,4.47
18.21,26.95,2.55
18.02,27.78,1.72
23.15,35.1,8.34
17.55,28.82,2.27
19.26,31.42,4.23
20.51,35.08,8.21
18.41,28.55,5.29
21.62,33.78,3.44
22.91,37.19,7.4
22.14,38.45,4.95
18,28.92,1.57
11.15,9.77,3.36
17.96,28.04,6.77
28.77,50.31,13.23
15.3,21.87,2.42
23.5,37.04,1.76
21.92,34.64,3.26
24.9,37.72,2.58
23.76,40.62,2.61
17.46,25.06,6.55
24.43,39.16,3.47
26.72,42.15,7.82
15.97,24.05,3.12
24.59,39.62,4.93
28.44,49.22,8
15.93,19.78,3.5
25.13,43.06,14.14
31.34,54.04,9.14
10,13.73,2.08
18.65,24.89,3.73
19.47,30.05,4.6
13.89,16.01,2.65
17.32,20.64,2.17
23.01,36.09,12.48
15.51,22.09,6.53
20.77,33.19,3.52
22.34,38.36,5.41
20.69,30.8,3.81
15.25,20.1,2.19
10.94,12.9,4.51
21.03,30.59,11.87
18.5,26.93,4.9
18.92,30.52,5.19
19.8,31.99,2.62
21.92,27.97,4.93
16.08,25.02,1.88
21.87,34.1,6.3
20.58,36.72,3.93
13.91,12.44,7.19
15.39,20.43,6.3
15.59,25.7,1.83
21.58,35.54,11.03
21.8,34.65,3.01
13.24,13.39,2.51
15.21,19.83,3.16
13.46,15.98,1.54
17.12,24.75,2.24
27.27,44.48,2.35
18.48,27.26,7.11
21.99,34.02,6.71
26.86,45.25,3.34
19.09,28.84,4.6
17.67,25.79,4.75
22.77,36.24,1.92
18.75,26.61,3.82
21.77,34.5,5.47
18.67,26.62,12.33
21.48,32.86,12.83
26.1,48.1,1.5
18.76,27.79,9.08
12.78,13.6,2.57
18.97,25.86,3.75
20.85,32.94,2.05
28.44,49.76,4.47
24.35,38.23,5.92
21.72,36.9,1.99
15.54,20.87,2.27
15.34,19.19,2.84
22.33,35.45,3.24
