price,duration,wait_time
16.66,24.65,5.28
21.93,34.26,2.48
11.56,17.49,2.26
15.26,20.85,2.86
27.89,47.87,5.2
18.59,30.79,10.41
22.05,35.42,15.76
21.43,33.82,1.79
12.37,15.72,1.9
21.06,34.7,11.08
20.74,27.88,2.74
24.76,40.42,2.34
18.42,26.09,6.26
22.74,37.74,2.61
18.22,29.77,2.44
18.73,25.71,5.52
18.02,27.02,4.37
19.3,30.95,3.24
17.98,28.22,1.55
15.1,19.57,2.16
32.36,56.99,4.99
19.83,32.73,4.44
18.73,30.14,8.76
20.75,33.23,2.88
23.54,39.6,7.48
15.44,19.7,5.89
13.82,14.6,2.93
17.48,24.57,3.3
21.31,35.08,2.36
24.98,41.4,1.85
22.1,34.91,3.66
21.93,34.99,2.48
17.29,25.97,1.54
27.51,46.69,4.25
25.73,46.61,3.15
26.48,42.52,6.5
16.71,21.72,12.3
19.65,32.7,4.71
24.74,39.59,2.25
11.9,11.53,2.76
15.74,25.08,4.55
22.79,37.88,6.94
18.92,26.69,8.28
25.62,40.02,2.42
27.74,49.63,4.76
18.88,31.22,4.9
15.43,20.62,8.73
19.43,28.33,3.14
21.29,30.67,1.79
19.79,28.75,6.43
25.13,43.06,2.76
8.97,8.73,7.31
17.19,27.08,11.05
15.49,27.45,7.43
22.33,38.66,20.37
21.74,33.5,1.57
10.63,13.3,8.2
20.94,37.46,4.16
26.41,42.88,1.68
20.45,29.77,2.6
15.25,18.59,4
19.97,29.03,2.33
26.92,48.38,3.23
21.44,36.01,4.49
23.6,36.13,2.11
18.67,26.62,12.33
23.64,37.43,4.61
17.26,27.43,5.76
17.65,29.44,1.66
13.44,19.52,1.56
18.42,29.72,2.3
12.61,16.12,6.79
17.17,23.5,6.37
27.7,49.96,4.01
21.73,31.21,11.51
21.53,34.6,7.43
16.45,27.15,2.11
24.01,40.39,5.25
31.1,52.85,2.33
23.29,37.43,4.32
22.5,37.51,4.55
23.43,39.55,2.32
17,23.61,2.63
23.79,38.86,1.77
18.59,27.63,4.32
14.77,18.69,4.23
24.47,39.38,2.93
23.46,40.05,2.48
21.03,32.96,1.51
21.52,35.18,5.49
13.62,17.14,9.67
15.94,21.1,1.7
17.22,25.43,6.24
11.43,13.46,3.01
11.39,14.45,6.65
17.16,25.11,4.53
26.48,44.13,4.58
21.72,33.48,1.72
24.07,43.06,1.85
14.76,19.23,10.59
