price,duration,wait_time
17.17,24.63,1.7
21.92,37.95,5.31
24.7,42.13,3.77
18.12,24.73,8.47
13.4,17.79,1.5
23.3,35.89,2.49
19.6,30.59,4.45
23.43,35.82,6.19
26.84,45.15,2.23
21.67,35.94,10.47
14.75,20.87,7.7
23.88,39.63,2.88
21.1,31.32,2.14
21.16,33.32,3.25
14.95,21.55,7.69
20.49,34.76,2.9
11.21,11.62,1.55
13.93,16.92,2.04
22.75,38.89,4.39
12.88,16.27,2.9
26.86,44.17,4.16
23.04,35.19,3.87
19.17,25.87,7.31
18.12,30.46,3.48
19.59,26.49,12.22
17.04,22.82,1.53
28.72,50.5,1.55
23.6,39.59,3.35
24.79,41.93,3.03
20.42,28.03,1.87
12.59,13.22,5.02
15.17,17.21,3.48
17.31,22.96,2.13
20.82,33.68,1.63
21.82,33.32,2.03
20.79,30.78,5.46
17.68,28.34,6.3
19.67,29.28,1.8
14.6,19.77,3.16
22.25,33.55,2.95
23.14,40,3.99
23.72,41.85,3.58
16.43,23.31,5.82
11.27,9.19,3.86
25.87,44.09,2.51
17.19,24.28,3.29
27.5,46.45,1.63
19.93,29.75,5.19
12.89,14.4,1.79
9.99,13.75,1.77
21.35,40.06,4.83
14.98,21.8,3.28
20.68,33.35,6.25
16.42,23.34,1.89
10.84,10.43,8.46
26.95,45.33,6.12
18.31,22.02,1.53
26.08,44.08,7.17
27.38,46.97,3.02
17.12,21.03,7.47
25.88,47.19,4.76
18.71,27.93,6.91
13.06,15.45,5.13
19.62,30.07,2.76
23.15,36.81,2.3
12.01,15.4,3.17
21.92,27.97,4.93
18.08,27.42,2.46
25.42,42.22,5.49
15.38,21.2,1.63
15.72,16.17,7.24
20.61,33.62,5.35
18.85,28.03,5.23
19.45,29.99,2.73
15.64,21.27,5.48
18.99,27.44,2.04
20.19,31.54,6.43
16.64,27.34,3.57
25.27,42.86,3.09
20.26,33.02,3.01
14.68,18.75,2.05
15.16,22.09,4.7
16.33,18.57,4.15
23.95,39.54,6.92
16.18,22.86,2.4
21.19,36.18,4.3
16.71,23.67,4.33
24.91,41.76,9.99
20.14,33.24,1.87
12.56,16.03,15.68
11.38,13.98,2.2
19.74,37.5,5.05
23.62,41.13,2.48
20.83,33.16,2.63
27.92,46.95,2.49
22.82,38.87,7.51
14.83,20.71,9.66
15.68,20.9,1.91
17.59,27.97,5.32
21.72,34.4,6.18
