price,duration,wait_time
24.33,43.22,1.77
13.32,14.34,2.73
23.58,36.6,4.82
24.36,41.53,2.79
16.04,25.54,3.42
20.67,32.58,3.75
14.18,18.22,4.93
26.39,45.45,9.16
23.13,39.17,2.87
17.53,27.19,5.78
20.75,35.18,2.24
21.18,33.9,2.24
15.62,20.49,1.96
17.02,25.05,3.39
18.74,33.3,4.83
14.65,20.15,2.26
15,18.84,6.9
20.07,30.36,2.13
21.96,35.97,2.82
21.01,34.81,8.6
21.52,33.15,9.53
14.67,19,6.83
11.19,7.78,5.14
21.06,29.86,5.4
16.06,22.05,4.12
18.22,27.81,7
20.84,29.87,1.89
17.66,28.45,5.66
22,33.24,3.52
19.38,24.96,4.47
24.72,41.5,6.5
22.83,35.04,2.52
17.68,25.92,2.35
35.99,67.15,2.51
20.65,34.78,3.9
16.82,23.79,1.67
21.58,38.71,4.14
27.65,48.25,3.98
14.66,19.73,2.97
17.72,25.72,14.06
12.52,13.95,2.46
19.29,30.9,6.2
16.42,23.18,5.76
18.63,24.43,21.14
13.82,18.65,12.29
18.97,30.89,2.8
18.69,28.11,1.9
9.87,9.81,7.28
15.06,19.2,2.12
21.28,32.86,8.51
15.45,24.05,3.98
20.07,30.7,1.74
17.79,28,1.76
20.51,35.46,20.25
24.03,40.64,2.57
19.88,30.27,4.49
14.6,17.4,1.5
7.86,5.43,3.09
20.78,31.29,9.55
18.63,30.52,2.78
22.68,37.15,4.5
14.01,17.05,4.78
20.03,28.41,3.15
19.1,28.46,16.23
17.4,27.63,4.46
21.15,34.97,6.5
14.01,21.31,5.47
18.54,27.07,2.09
18.65,29.99,6.15
10.73,11.5,1.84
21.09,31.3,1.6
19.38,29.3,1.79
16.01,24.25,8.06
22.48,40.55,7.93
23.19,37.59,1.92
21.68,32.1,3.83
17.3,25.88,14.43
25.7,43.62,1.56
20.93,32.79,2.66
22.34,36.23,2.88
17.42,24.32,5.08
18.36,30.21,4.92
18.78,25.84,2.09
23.09,39.24,2.03
14.82,19.87,1.86
32.1,54.71,5.73
24.08,39.28,2.69
18.86,31.42,5.15
16.23,23.78,3.91
14.76,19.88,2.34
13.94,18.79,4.32
21.16,34.3,5.6
21.89,31.19,5.7
14.23,23.02,2.94
21.58,35.8,3.25
17.13,24.61,14.17
20.79,31.86,12.4
19.41,31.88,13.05
17.82,24.82,2.87
25.36,42.98,1.6
