price,duration,wait_time
22.54,37.64,2.84
30.21,56.04,1.89
19.85,31.62,2.4
14.66,18.93,6
13.35,16.01,2.48
22.18,38.83,1.89
16.19,22.47,2.13
16.37,21.03,1.51
12.06,15.24,2.07
19.84,31.18,3.44
17.43,25.14,3.02
8.83,6.41,4.37
18.7,27.41,3.21
24.27,44,8.81
21.21,34.13,2.21
23.4,35.61,2.8
22.28,34.47,9.94
18.51,31.25,1.57
18.64,26.71,2.35
17.5,29.49,2.18
16.21,22.31,4.38
19.36,28.99,5.95
16.09,24.96,11.33
20.15,32.72,5.12
25.23,48.29,2.9
17.55,29.5,4.97
11.28,13.32,2.89
13.5,18.87,6.84
21.31,30.76,4.91
26.07,43.28,2.57
34.03,62.1,2.69
23.42,39.1,3.71
23.2,38.63,4.31
24.18,41.73,2.25
18.9,28.39,8.83
18.13,27.11,1.75
11.5,11.31,4.89
24.09,38.77,2.18
12.9,12.46,3.41
20.8,31.78,2.09
20.34,30.53,6.44
26.48,41.77,1.83
12.39,13.84,2.11
15.95,22.51,4.35
14.28,19.46,18.43
23.04,36.73,4.32
19.08,27.93,2.45
11.3,8.37,2.38
18.59,32.32,2.82
10.68,12.09,1.72
25.15,43.89,2.22
17.34,19.71,13.31
12.41,15.29,3.11
12.81,18,1.79
23.13,33.16,9.29
21.91,29.93,7.24
10.47,12.87,1.88
25.43,39.91,1.86
30.72,54.78,1.58
26.49,49.41,4.67
14.78,15.9,7.31
17.83,23.14,5.76
17.73,25.53,4.87
15.57,20.82,2.79
20.31,28.35,2.5
10.08,10.87,1.88
21.74,31.98,4.42
15.83,18.08,1.89
25.23,38.95,19.81
20.28,31.51,3.19
19.01,27.48,1.79
21.45,33.35,4.88
18.45,27.83,24.95
17.2,27.38,9.23
12.54,16.57,5.32
12.94,15.01,2.47
16.12,20.04,6.5
22.82,41.32,2.97
14.59,22.99,2.75
22.09,35.76,2.24
24.49,41.29,4.35
16.98,28.12,3.33
18.79,27.51,2.36
25.61,41.33,2.19
21.39,39.19,1.98
21.57,37.31,1.73
10.74,9.94,6.03
17.01,24.42,8.27
25.11,43.98,2.83
27.9,47.87,3.31
16.15,22.48,3.31
22.9,37.42,6.27
22.26,36.34,3.37
21.81,35.31,2.02
19,28.19,4.91
21.87,31.03,6.51
20.42,30.78,2.57
30.4,50.84,2.52
16.85,25.98,3.01
19.31,28.61,2.98
