price,duration,wait_time
21.75,29.85,4.01
21.02,32.11,1.55
15.32,23.23,6.76
13.73,19.86,8.44
17.12,27.81,12.08
16.33,26.09,2.45
32.43,59.77,1.54
23.65,39.92,2.25
10.18,12.41,4.34
11.58,11.37,4.57
15.75,22.11,12.47
22.71,37.07,2.96
19.4,28.89,5.27
18.09,31.4,5.21
24.13,37.57,6.53
16.71,26.35,2.77
25.31,43.31,4.43
15.6,20.41,1.96
13.85,20.59,6.59
16.43,24.38,2.24
14.7,20.37,10.7
23.47,38.35,2.18
19.07,27.57,3.27
15.56,18.49,1.84
19.16,33.48,2.69
20.48,33.11,1.9
12.68,17.92,2
15.9,20.78,2
11.8,14.37,4.65
17.78,25.28,5.13
13.27,20.56,5.6
16.25,23.2,2.13
20.5,33.42,3.59
23.96,39.05,4.86
26.56,43.35,8.01
17.39,21.2,4.68
18.76,28.12,6.97
18.37,30.09,3.72
22.65,37.9,7.42
25.07,42.18,6.34
26.1,46.43,1.51
26.77,46.54,1.86
19.36,29.34,14.75
26.78,41.55,4.04
23.69,38.84,2.14
22.24,36.72,1.86
15.24,20.03,3.41
18.15,28.2,4.69
26.09,43.7,4.25
18.11,21.94,4.92
20.75,28.79,3.03
16.51,23.16,2
18.93,30.5,5.11
17.27,30.72,3.97
21.63,35.92,1.91
29.69,50.37,6.49
23.13,35.64,2.4
17.25,28.11,2.69
20.7,33.65,3.86
24.91,44.73,2.05
17.78,24.29,4.35
15.58,21.33,2.42
12.32,16.08,1.65
17.35,21.31,1.64
16.16,26.59,1.7
17.04,27.19,2.3
23.28,35.12,1.95
13.14,17.61,1.98
20.35,30.72,1.6
18.69,28.85,2.65
9.61,11.1,4.28
18.94,31.33,2.81
12,14.38,3.12
21.37,31.07,1.7
17.53,25.23,7.16
13.99,15.49,7.67
10.83,9.12,3.1
17.08,24.92,5.31
16.47,22.3,2.15
24.02,39.19,2.15
18.67,27.91,1.73
23.51,37.73,2.62
19.61,28.55,1.85
16.54,26.86,2.23
23.44,40.56,3.16
11.75,10.03,3.55
20.2,28.32,2.85
19.02,28.82,9.48
19.6,30.27,5.01
16.92,21.41,3.79
11.15,9.77,3.36
24.29,41.14,2.24
18.56,30.58,2.71
19.49,28.49,8.3
28.57,50.18,2.67
21.54,33.44,2.14
15.6,22.64,1.99
18.16,28.34,1.89
18.22,24.5,2.29
22.42,33.83,2.05
