price,duration,wait_time
14.35,21.34,1.68
24.44,41.22,1.69
24.37,39.68,3.29
19.42,30.48,2.32
21.04,34.27,4.85
26.29,42.16,2.54
25.94,43.34,6.54
22.66,38.15,5.35
22.43,34.46,2.41
26.17,42.44,4.23
30,54.16,1.88
16.95,23.29,4.24
21.45,31.58,3.64
21.11,34.59,8.23
16.72,22.04,1.68
18.82,30.02,3.93
15.85,24.83,5.98
22.99,36.05,1.68
24.41,41.66,3.33
23.65,38.04,6.1
21.25,35.07,2
18.15,26.58,6.74
26.02,47.63,2.29
22.63,34.43,1.89
21.33,31.36,3
18.71,29.8,12.91
16.2,27.05,3.27
20.97,35.01,4.09
19.74,34.04,4.43
12.72,16.01,3.25
19.46,28.19,5.71
17.83,25.52,5.05
20.54,35.68,4.28
12.22,15.44,8.08
28.48,50.34,4.2
19.97,34.31,11.83
23.13,39.7,2.67
22.8,38.86,2.29
22.82,37.45,16.34
25.24,39.9,1.75
14.94,19.27,1.79
17.85,28.54,7.33
22.79,35.18,3.32
14.66,15.91,7.99
20.7,31.91,3.98
18.42,29.54,6.32
18.63,31.51,3.07
20.92,37.24,3.68
12.26,14.1,2.35
19.28,30.49,4.14
18.19,27.33,2.44
15.06,20.04,7.34
24.85,40.47,5.7
18.55,27.63,3.02
23.56,38,4.48
17.77,24.69,3.42
21.25,35.18,2.17
16.37,24.77,2.18
18.02,27.98,1.77
20.38,31.06,1.99
19.33,31.37,3.41
18.87,25.99,3.91
22.16,35.49,13
18.12,23.61,3.83
16.39,24.46,4.94
20.94,34.24,2.68
17.58,25.81,7.42
22.02,36.19,5.99
20.83,31.12,5.29
27.42,46.04,1.82
20.67,31.62,1.87
16.91,26.44,2.79
11.54,15.03,2.98
17.26,28.97,5.03
19.07,32.85,4.64
17.05,20.32,6.1
20.99,32.07,2.69
17.68,22.21,7.53
20.03,32.61,6.07
15.04,19.83,3.6
23.49,38.56,8.87
20.47,32.47,3.41
19.31,29.77,6.46
17.18,24.41,6.13
19.28,30.89,8.78
13.86,17.47,4.26
16.15,22.45,1.73
23.34,40.82,7.76
20.62,25.9,2.2
20.15,33.6,5.97
20.46,32.83,3.51
9.3,6,1.97
24.97,41.23,1.69
14.7,14.96,9.45
16.28,20.78,8.01
27.04,43.87,5.56
24.03,41.48,5.1
17.63,27.7,4.46
10.59,12.52,4.4
21.52,34.07,4.75
