price,duration,wait_time
13.64,18.79,1.8
20.42,28,8.6
20.11,27.75,2.82
22,32.13,3.61
21.76,33.84,1.85
20.31,30,2.31
23.89,37.84,6.99
19.65,27.22,3.21
26.52,46.98,1.62
19.64,30.8,6.29
15.17,20.67,1.57
23.97,35.2,10.22
15.85,23.13,6.6
23.05,34.86,6.26
16.85,28.46,2.18
25.72,44.05,4.84
20.8,34.39,2.33
26.74,47.52,1.72
18.22,27.7,10.62
21.12,29.06,11.82
16.97,25.06,3.64
21.8,35.77,2.23
17.79,22.69,2.05
20.41,25.69,3.4
17.37,25.19,7.59
14.04,18.43,5.57
7.88,8.76,1.91
25.16,43.29,3.29
21.89,35.74,10.84
23.04,31.27,2.99
22.32,35.06,6.73
25.68,41.3,2.5
21.95,33.52,3.3
18.7,26.97,5.2
22.44,34.12,7.95
19.35,28.93,1.61
18.2,27.19,2.8
18.45,26.01,3.09
21.41,34.48,6.84
25.69,45.65,3.55
20.07,29.08,15.75
25.38,43.36,5.39
11.58,7.71,1.7
19.47,29.82,10.52
24.83,43.74,13.4
22.8,38.86,2.29
18.83,26.91,1.93
16.83,23.46,4.78
21.11,36.45,3.5
20.53,32.89,6.89
22.55,38.01,2.39
23.08,38.89,2.64
28.72,47.67,14.68
21.85,32.12,1.76
21.06,36.34,2.09
9.97,10.41,7.94
28.35,47.44,1.84
21.07,35.71,6.93
19.47,34.88,6.56
17.24,22.8,9.76
23.4,36.35,11.54
20.62,34.08,3.79
23.51,39.53,4.92
24.31,38.7,8.47
21.93,36.65,4.93
17.57,30.42,1.93
26.79,43.13,4.87
22.47,37.89,5.47
15.82,20.35,6.06
17.47,23.59,4.97
25.2,41.28,4.36
19.07,27.27,2.95
22.57,38.22,2.03
22.88,36.76,3.57
24.06,38.68,3.72
24.4,34,2.71
16.96,20.93,7.6
31.09,54.66,10.23
15.95,27.6,3.98
17.41,27.88,1.57
19.75,33.93,2.49
16.92,23.25,3.34
26.52,46.4,5.75
17.08,23.89,5.42
25.76,44.65,8.39
23.16,38.76,16.94
21.84,36.51,3.98
23.18,38.32,7.22
19.7,31.31,1.8
23.53,35.27,2.24
11.2,11.49,3.93
30.32,53.34,4.62
27.29,47.03,12.76
10.54,14.39,2.71
10.9,13.93,7.79
16.06,23.43,5.64
14.73,17.13,5.49
26.3,40.27,4.18
22.72,36.61,9.21
15.68,19.67,1.62
