price,duration,wait_time
13.05,16.14,1.7
20.67,29.6,3.66
17.3,22.2,3.35
30.86,58.06,3.5
22.92,42.23,10.9
20.14,30.6,3.76
16.93,25.2,4.48
23.11,37.69,2.42
22.19,38.51,2.75
24.93,40.86,4.98
22.51,37.54,1.58
22.33,36.04,2.27
13.19,19.03,4.2
8.11,9.73,7.9
21.05,30.48,6.27
26.58,43.15,2.79
17.54,25.65,2.64
29.32,50.2,2.78
24.42,39.39,2.04
17.17,22.32,8.94
22.21,38.14,3.1
21.96,34.91,2.03
11.12,16.48,3.32
19.28,30.29,4.19
20.03,30.6,19.36
10.45,10.43,3.44
17.59,27.53,10.83
18,25.04,1.62
23.6,39.6,2.46
8.65,6.66,8.22
16.25,25.05,1.89
15.56,22.91,15.59
16.92,22.1,7.42
19.6,30,5
25.24,43.76,9.19
25.51,41.22,7.4
12.37,14.7,4.71
18.27,27.71,3
13.24,16.52,2.06
16.39,23.14,4.34
24.19,38,2.21
14.88,24.19,2.04
17.42,30.54,1.81
22.68,36.26,2.04
18.43,32.32,2.93
15.48,22.65,4.21
19.91,32.46,3.5
25.72,43.71,9.15
15.57,22.47,5.64
21.25,38.48,1.88
20.96,34.67,3.83
18.31,29.96,2.87
18.96,28.67,3.18
18.84,28.74,5.88
17.25,25.28,3.84
12,15.01,2.07
17.14,25.32,1.63
24.81,43.24,5.75
18.94,29.97,5.6
12.69,14.11,3.65
20.82,32.97,1.79
10.58,8.29,4.06
16.73,25.37,1.75
17.73,24.84,3.29
24.68,39.84,7.01
15.84,22.51,2.34
23.4,38.74,7.86
17.52,26.57,12.07
14.68,21.84,4.32
21.24,37.3,4.7
15.03,20.14,2.49
14.94,21.59,11.52
11.09,9.98,4.26
16.31,20.36,5.71
18.27,27.78,4.4
12.53,17.5,2.28
19.95,32.03,2.36
14.35,15.61,7.83
18.5,25.24,1.69
17.82,32.16,2.66
21.74,34.99,1.77
20.68,33.65,14.9
19.41,29.94,2.9
26.52,44.24,1.75
19.93,29.37,4.9
16.12,21.86,2.27
29.49,51.22,2.07
11.97,14.78,4.89
15.09,22.93,2.35
12.38,14.91,10.48
21.47,33.94,2.23
23.76,40.45,7.73
22.31,35.67,4.58
12.85,16.07,7.85
20.32,29.79,1.63
19.6,30.37,1.96
8.29,6.79,1.66
11.61,8.82,6.59
10.32,9.52,5.84
21.65,36.44,8.59
