price,duration,wait_time
26.14,44.23,8.78
22.7,37.07,6.64
13.19,15.57,6.36
12.68,14.11,4.26
22.46,37.59,3.98
10.54,8.42,2.19
14.45,19.49,8.59
17.86,26.42,1.71
23.8,37.91,2.82
17.24,28.01,3.19
21.71,33.03,3.43
25.95,45.44,2.43
15.23,24,4
19.95,35.65,1.68
18.58,28.32,2.13
17.17,26.02,6.84
21.55,35.46,5.75
28.35,45.1,1.72
22.8,37.52,10.55
25.78,40.52,6.13
22.13,38.59,2.33
19.34,27.81,6.57
22.8,37.57,1.65
25.67,44.88,2.24
21.54,28.58,3.17
17.48,24.68,6.69
18.53,26.96,4.94
15.29,19.47,6.56
28.57,50.45,1.82
15.72,25.3,2.95
11.73,12.26,10.94
17.2,21.32,2.74
18.24,28.98,6.25
28.3,47.32,4.43
16.03,19.96,2.82
19.76,31.9,3.18
9.99,11.68,6.76
13.18,16.84,8.08
19.56,29.72,3.2
19.16,27.93,4.78
21.56,35.2,2.88
16.45,24.91,1.61
23.46,36.99,1.55
20.25,26.86,3.37
20.25,30.67,3.01
25.01,40.67,2.19
26.29,42.31,3.04
18.31,25.46,3.68
17.6,22.86,3.15
19.26,31.66,1.86
16.5,22.65,2.52
19.14,31.12,6.6
16,23.18,2.56
15.71,23.33,2.51
16.79,28.1,4.11
14.64,24,4.18
18.73,29.46,2.26
24.91,39.93,8.95
21.83,32.53,4.47
15.81,24.52,2.63
14.04,23.31,5.96
16.8,26.44,14.97
20.16,29.93,4.31
19.82,31.27,3.46
18.63,27.04,8.19
20.79,34.1,3.75
22.41,34.5,4.74
21.08,34.82,4.14
25.69,37.77,8.41
12.74,16.54,2.61
23.06,36.77,7.43
20.65,28.86,3.06
27.56,46.75,1.74
27.6,45.63,1.91
18.75,28.52,1.69
19.22,28.62,6.8
19.62,31.69,6.44
14.78,17.2,6.96
23.34,38.64,2.22
8.82,9.87,7
18.81,27.42,4.45
22.34,37.74,2.74
12.77,18.4,1.92
28.91,48.91,2.16
20.47,34.76,4.45
17.06,22.47,13.63
17.57,27.65,6.63
18.46,31.45,1.85
27.26,48.1,2.66
13,15.49,2.17
21.44,36.34,2.16
13.15,13.48,7.61
22.11,32.11,1.65
18.83,31.62,3.06
21.19,36.32,2.56
20.95,35.35,6.66
18.83,26.51,2.76
23.23,38.69,1.63
25.73,42.47,2.13
16.83,24.19,1.53
