price,duration,wait_time
16.23,23.78,3.91
19.88,29.71,3.58
11.46,14.36,2.14
13.45,19.15,3.6
24.12,39.06,2.54
20.6,32.95,3.23
17.78,27.05,5.88
25.28,42.52,3.15
18.32,28.49,1.95
17.15,25.74,1.69
21.49,35,2.21
15.62,17.61,3.56
12.96,14.81,1.51
18.26,23.81,3.94
18.71,26.47,3.79
25.58,43.96,9.68
20.32,32.04,1.59
22.38,34.82,2.24
15.29,20.49,2.97
19.85,32.14,2.39
20.9,34.32,3.25
18.63,28.78,4.85
19.38,30.51,4.79
21.58,33.81,6.47
16.82,24.98,2.04
13.78,16.11,6.44
21.03,33.37,5.72
17.3,25.56,2.83
14.22,18.38,3.21
23.09,35.53,3.7
28.5,48.87,1.99
17.12,26.77,3.81
21.7,37.11,1.85
18.84,30.94,4.17
17.34,24.89,4.89
20.8,31.81,5.17
15.63,22.82,4.61
15.52,22.75,7.63
22.84,37.98,4.88
16.94,22.93,2.85
10.27,12.07,4.87
14.36,17.14,3.94
20.09,29.32,3.47
15.12,22.78,3.21
28.3,47.23,3.62
19.81,31.93,2.91
12.85,14.15,10.17
13.21,19.59,2.28
20.03,30.6,19.36
9.71,6.8,3.83
22.88,34.6,1.62
26.86,45.02,4.1
11.43,12.32,3.9
21.33,35.39,2.28
19.52,31.99,2.43
18.78,25.84,2.09
19.15,27.42,11.2
24.84,39.7,1.66
9.69,6,1.7
15.51,25.33,6
27.96,49.07,2.12
22.23,36.28,8.47
21.45,33.46,4.63
22.67,39.45,2.56
23.66,35.55,3.58
20.36,38.73,2.59
24.6,38.72,2.19
24.04,38.99,2.48
25.33,40.48,1.86
13.56,12.79,9.04
26.92,46.89,1.8
22.77,35.61,2.62
22.58,34.8,4.96
21.9,37.31,2.7
16.19,25.62,2.52
20.27,30.5,4.05
13.47,19.74,4
16.02,20.28,8.52
18.76,29.14,1.9
19.53,29.96,1.6
17.74,29.76,8.07
19.59,26.85,1.99
11.66,15.85,5.06
16.05,25.49,1.72
12.43,14.48,1.7
14.38,18.18,2.12
20.84,34.66,1.64
24.64,42.91,14.33
29.67,49.04,2.95
9.67,9.98,3.73
12.41,13.97,3.09
22.01,33.42,1.77
16.35,21.2,5.22
18.8,27.72,5.64
18.16,23.61,3.39
22.1,34.35,2.21
18.88,26.14,2.23
19.46,28.51,3.28
20.64,26.55,2.47
24.13,40.75,2.91
