price,duration,wait_time
33.3,58.69,5.89
26.58,43.78,2.5
14.3,23.21,3.9
16.14,24.09,3.71
22.54,37.54,9.51
17.18,26.27,13.13
30.58,52.58,2.54
20.39,29.39,3.13
15.97,20.93,2.04
19.98,29.9,4.24
11.55,14.94,9.85
13.74,14.52,3.72
21.67,35.6,3.04
33.6,61.63,2.05
23.72,39.54,1.53
25.4,41.07,2.47
11.98,14.33,1.82
19.06,29.11,4.5
19.88,27.53,2.72
18.63,28.78,4.85
16.53,25.37,4.46
19.44,34.36,4.46
20.65,30.23,1.5
20.96,32.96,3.38
21.73,34.72,5.55
25.06,42.19,2.94
21.03,34.2,1.65
12.41,13.97,3.09
17.75,26.97,4.31
23.94,39.28,2.13
19.67,34.74,1.69
15.19,21.2,3.17
19.58,30.48,4.61
22.9,40.41,2.06
15.96,23.12,1.76
20.04,28.33,3.26
13.66,16.99,4.27
25.36,43.97,1.97
25.27,45.26,3.9
20.71,31.91,4.11
21.72,35.8,10.01
24.27,41.95,10.1
11.46,13.43,4.46
22.04,39.37,1.6
13.13,14.09,2.2
25.05,36.62,1.97
16.96,26.12,4.43
22.7,35.14,6.61
20.53,30.98,2.95
22.55,33.47,3.25
21,35.57,2.54
22.88,34.4,2.87
24.45,41.47,2.45
20.39,34.75,2.36
22.96,37.65,2.24
22.84,37.08,6.06
16.54,22.88,7.89
21.91,36.83,6.46
14.35,20.52,1.65
19.42,30.39,7.73
13.83,16.96,2.92
16.75,22.75,3.52
25.58,40.27,2.41
21.31,34.76,2.34
26.14,44.29,3.36
13.1,17.35,4.71
23.9,38.11,2.12
21.62,33.04,3.81
12.97,15.53,2.06
17.23,25.85,2.32
21.59,37.37,6.28
27.99,46.76,3.69
19.05,29.6,2.84
18,27.58,5.37
13.22,18.91,2.73
16.61,23.15,1.91
14.79,19.82,3.59
23.71,38.56,2.15
15.89,23.93,2.51
20.99,35.31,3.63
17.78,28.45,1.78
15.89,19.79,2.98
13.09,14.03,5.41
14.08,22.75,7.03
23.06,41.04,1.72
15.48,24.76,1.57
10.78,15.19,3.96
14.29,16.74,7.29
24.29,40.79,2.58
20.45,30.94,7.42
22.69,39.73,3.44
24.67,40.89,2.13
18.07,24.03,9.95
20.85,33.51,3.22
20.66,32.8,1.88
24.23,38.23,3.05
25.59,45.69,4.75
23.33,38.7,1.55
14.99,20.86,2.34
21.21,31.65,1.84
