price,duration,wait_time
22.13,33.46,1.82
31.87,56.47,5.65
23.12,39.25,2.95
27.95,48.07,5.02
15.54,20.6,1.82
14.91,21.84,4.9
20,31.11,11.12
22.21,34.39,6.64
19.77,28.47,3.47
16.45,19.74,2.77
20.27,26.45,5.12
14.2,19.78,2.54
17.92,27.09,2.19
22.23,36,2.19
13.61,21.46,5.21
20.56,33.8,6.02
22.01,34.13,5.02
21.67,35.94,8.33
18.96,27.27,1.9
12.93,17.03,5.83
16.98,25.08,11.4
20.52,32.11,1.62
17.27,24.88,3.88
24.35,40.15,1.73
19.13,34.07,3.28
24.14,39.67,10.15
23.59,39.82,2.19
23.59,40.46,3.26
18.98,29.79,5.32
23.39,42.41,7.68
16.12,23.14,13.95
10.72,7.65,3.8
20.63,31.01,3.77
25.03,43.71,1.95
22.51,33.83,3.57
22.48,37.45,4.26
18.48,25.56,3.22
17.27,19.49,2.69
30.75,53.19,5.58
17.16,26.12,2.54
22.07,36.22,6.78
18.22,26.66,1.63
11.78,14.21,3.37
12.27,15.21,2.84
20.33,34.67,1.58
24.93,40.82,1.99
22.13,38.33,2.53
21.21,34.12,4.17
15.87,24.54,2.45
21.99,34.88,4.22
24.33,39.07,2.37
18.01,28.9,1.68
13.45,20.55,2.68
18.04,23.47,1.57
11.97,18.26,4.03
24.73,38.5,3.6
26.65,43.03,14.13
17.9,30.5,7.19
20.97,30.42,6.09
17.82,26.9,5
21.43,35.68,2.47
11.42,11.71,3.38
19.43,31.33,1.77
27.76,47.71,16.93
15.95,26.07,2.48
14.29,18.81,1.54
8.24,6.02,6.43
27.95,46.9,1.72
19.25,28.49,4.61
24.77,43.93,5.87
16.07,26.06,2.4
19.19,26.45,7.86
13.14,17.77,3.85
17.05,22.34,2.13
20.03,30.16,12.14
16.43,22.33,2.82
17.78,22.68,5.76
22.64,35.44,8.29
18.83,27.18,6.35
18.13,25.21,3.51
20.7,30.76,1.86
18.08,29.7,1.57
27.11,45.98,4.1
20.41,30.5,2.05
19.91,30.57,7.9
19.54,30.17,2.44
16.99,28.47,4.44
20.89,35.39,2.38
18.67,25.46,4.81
12.95,17.39,2
25.67,48.7,2.27
15.97,28.19,2.88
18.7,27.51,3.93
19.87,28.91,6.32
30.89,50.53,2.13
13.42,17.74,2.56
13.47,18.16,3.1
15.28,20.58,4.74
18.03,24.57,1.72
25.47,40.75,6.05
