price,duration,wait_time
23.07,33.51,2.44
18.19,28.09,4.2
23.23,37.14,5.08
18.36,26.19,1.74
26.27,41.69,4.63
22.97,35.68,6.17
14.67,18.19,3.82
22.54,35.86,2.42
14.49,16.83,11.11
15.41,23.76,3.06
16.25,24.95,1.99
23.36,39.93,2.04
24.22,41.71,10.36
16.1,19.96,3.23
22.39,37.72,8.13
17.63,30.26,5.89
14.51,15.61,4.55
24.42,41.78,5.77
22.48,39.38,6.16
16.64,23.98,1.89
23.56,40.52,3.95
22.79,38.93,5.61
22.93,38.97,3.66
28.69,52.82,1.81
17.45,26.18,3.54
16.67,22.67,5.83
22.7,36.72,3.95
21.84,31.97,4.68
14.35,22.15,3.34
18.48,25.05,1.69
17.85,24.35,1.6
18.31,27.41,3.99
15.07,21.52,2.54
20.7,34.86,3.03
15.67,20.74,13.84
23.05,37.71,2.2
18.78,29.71,1.83
23.55,38.23,2.36
19.13,26.96,2.21
25.46,44.75,2.81
22.94,36.15,2.54
15.78,24.43,3.2
15.79,23.04,1.93
24.61,38.69,3.15
16.82,27.4,2.33
23.33,37.72,5.12
23.32,39.69,3.07
17.79,28.63,2.28
8.4,7.71,4.64
30.66,51.4,1.72
18.36,31.37,2.56
20.67,31.62,1.87
24.91,40.21,4.65
22.78,36.78,1.82
24.83,41.28,10.41
20.38,30.8,11.94
22.75,39.23,3.78
20.38,32.39,2.85
14.54,15.73,6.59
15.73,27.61,3.37
23.46,37.19,6.09
17.49,26.97,2.21
22.05,35.64,3.74
22.79,39.16,6.44
17.65,25.81,1.58
16.19,24.07,4.84
17.39,26.91,3.94
15.71,18.68,1.71
18.7,27.08,1.74
17.06,25.55,2.18
18.3,24.11,4.95
11.45,15.02,2.78
30.05,48.67,6.73
10.9,9.87,4.32
19.85,30.81,2.54
23.03,37.13,3.66
13.53,19.57,2.46
21.06,31.28,2.55
14.98,19.19,2.64
24.08,41.63,2.02
12.03,14.73,9.26
19.88,31.39,2.3
21.4,35.87,6.16
15.78,18.27,9.57
22.54,32.2,1.76
24.45,42.03,2.63
21.07,32.6,8.71
25.86,45.45,6.44
20.55,28.36,4.54
27.69,42.67,2.49
22.92,34.75,4.26
17.98,25.18,2.9
21.01,33.43,6.2
18.3,28.6,6.73
25.4,43.6,1.89
21.41,32.86,4.57
19.56,27.63,3.69
24.02,37.89,6.89
12.57,17.74,3.67
22.72,38.01,4.02
