price,duration,wait_time
24.13,43.77,4.13
34.12,63.06,5.74
17.12,27.11,2.73
14.93,22.25,5.87
18.38,26.09,3.88
23.38,40.31,7.18
24.02,39.98,4.55
19.49,30.87,14.17
16.35,22.01,3.8
26.03,41.66,1.58
18.7,33.26,11.81
15.59,22.07,4.04
10.36,10.46,9.53
15.97,21.38,9.22
17.61,27.84,7.06
20.91,35.63,3.38
8.45,4.17,3.03
23.61,39.12,6.55
19.74,33.4,3.07
23.74,35.92,2.09
22.36,39.62,4.58
17.84,29.39,1.72
24.55,39.05,3.06
12.66,12.38,6.63
20.63,33.43,12.06
22.76,38.49,1.59
21.4,34.3,3.82
21.38,31.75,1.79
16.18,26.26,5.36
19.06,26.97,7.08
17.12,26.77,3.81
21.82,38.65,2.06
14.4,25.66,2.88
20.16,33.18,4.83
24.19,39.06,3.34
11.83,12.93,3.16
21.65,33.59,7.83
13.03,13.25,2.99
26.29,42.31,3.04
15.57,21.32,13.72
18.73,33.72,5.28
21.93,34.26,2.48
16.71,26.82,2.47
23.08,35.42,8.94
24,38.98,1.69
18.55,26.12,6.88
15.38,23.44,1.71
18.13,27.41,2.91
17.36,28.08,2.92
18.1,22.3,4.03
17.22,24.25,15.7
21.13,35.21,2.28
12.06,13.97,2.47
21.15,36.61,4.71
23.74,40.64,2.51
22,35.21,1.72
11.04,10.93,2.27
19.12,27.9,6.67
21.57,34.09,1.91
14.8,21.9,2.42
20.13,31.39,3.31
20,30.94,10.64
21.07,38.67,2.4
28.14,48.74,2.08
8.26,8.6,5.18
17.98,27.32,7.16
18.44,29.09,11.62
10.57,12.81,8.21
24.61,38.84,2.41
24.77,40.63,12.61
15.31,23.89,1.88
20.48,29.66,3.91
17.28,30.84,2.03
15.31,22.94,2.79
19.71,27.01,8.8
19.51,30.3,5.79
22.79,39.54,6.67
18.96,23.09,1.8
22.08,34.2,2.05
22.39,33.09,6.41
23.38,33.39,2.73
20.92,33.63,2.24
12.77,16.74,3.52
20.44,31.71,6.29
20.3,32.6,2.72
22.08,34,5.31
18.06,27.32,4.61
24.84,36.61,9.63
18.07,26.95,4.32
21.02,32.11,1.55
10.26,7.8,3.12
21.59,36.91,5.42
22.79,41.13,2.71
18.86,30.46,2.63
25.24,40.28,4.67
17.16,25.22,1.55
20.87,29.93,2.39
13.56,18.81,21.34
17.34,31.56,1.67
22.25,36.37,6.52
