price,duration,wait_time
18.37,27.39,3.95
16.45,20.76,2.11
24.71,37.48,3.17
15.94,24.31,11.08
25.1,41.73,8.49
20.79,30.92,4.44
21.92,37.05,2
25.69,42.48,2.69
17,26.07,4.08
10.44,12.65,2.98
15.04,25,4.32
22.88,38.39,3.46
22.24,31.96,3.94
15.96,19.41,2.22
22.35,33.07,13.7
15.65,19.25,2.65
18.2,25.64,9.17
16.47,20.37,5.46
23.67,39.55,4.14
24.96,40.98,33.59
20.81,29.36,2.41
20.14,31.44,4.4
23.02,41.35,3.09
23.22,35.78,1.99
21.84,35.99,2.57
23.26,39.49,2.98
21.58,34.74,5.83
19.03,30.33,3.73
21.66,35.48,2.53
15.83,24.72,3.9
17.49,27.12,3.82
15.28,18.51,4.46
22.12,39.3,2.27
18.29,25.65,2.68
21.33,33.44,3.24
18.43,25.59,6.1
18.6,29.25,1.74
18.55,29.26,2.1
18.12,28.97,3.2
17.32,23.44,2.12
19.39,28.72,3.24
15.45,22.05,3.54
20.95,34.76,2.37
14.67,21.08,3.18
23.27,39.91,5.3
17.96,27.52,7.32
16.73,20.9,6.08
4.85,3.03,4.26
17.96,30.8,14.61
21.86,34.86,8.39
14.64,22.37,4.43
20.77,29.82,1.71
23.01,41.41,3.71
19.41,31.45,3.71
20.45,30.66,5.16
15.75,20.78,1.67
21.47,32.47,13.34
7.97,4.15,6.37
15.69,21.5,2.01
17.09,28.03,4.17
21.16,35.51,2.81
17.17,22.36,3.53
28.43,49.21,1.67
28.37,48.32,8.38
25.32,45.01,14.13
14.27,21.33,2.18
22.9,35.66,2.77
21.79,37.71,12.13
12.71,9.71,2.32
22.24,36.52,6.6
23.27,36.19,8.57
23.05,37.05,5.08
15.3,21.06,7.15
19.47,28.92,6.01
21.41,37.78,9.79
23.08,38.83,2.06
26.6,46.38,2.24
17.52,22.22,3.3
16.86,21.5,11.74
24.69,42.44,4.95
21.18,30.94,6.75
24.98,43.71,1.69
21.21,31.39,3.09
14.43,18.72,6.28
17.71,23.32,2
20.36,32.61,1.74
11.22,11.31,1.61
26.45,45.31,3.72
18.7,26.52,3.6
18.11,25.8,4.17
16.06,23.55,4.25
11.83,14.05,4.98
26.67,43.73,4.32
22.35,36.98,3.21
19.11,26.82,18.68
25.04,44.3,8.17
29.73,53.35,2.3
17.89,25.61,3.94
15.22,22.03,4.57
14.56,19.07,2.46
