price,duration,wait_time
18,29.67,5.56
12.37,9.88,5.46
19.87,28.81,1.93
29.67,54.82,4.48
16.26,18.78,1.99
24.27,38.32,4.15
13.74,18,4.16
14.41,15.86,3.23
19.6,32.61,5.07
27.53,43.75,2.63
15.25,18.69,9.7
16.57,26.15,3.89
15.56,25.08,1.56
18.69,28.6,3.23
13.56,16.6,2.33
16.76,23.87,2.16
19.14,26.72,3.33
22.73,37.89,2.28
18.42,26.13,4.21
11.73,13.18,5.9
17.6,27.58,3.37
16.62,20.22,8.59
25.72,42.25,3.47
22.71,36.24,2.91
18.34,26.32,1.85
22.84,37.29,3.58
9.79,7.58,3.23
21.81,36.27,7.72
29.35,49.32,1.66
17.03,29.81,12.27
11.84,14.01,3.09
21.5,34.71,1.91
25.46,43.37,4.57
19.02,28.56,9.3
18.87,32.46,1.59
26.83,48.33,5.66
11.12,12.77,1.6
8.46,9.72,2.98
18.25,23.91,3.09
15.34,24.3,5.01
15.63,17.8,4.06
26.44,42.76,2.43
14.96,22.08,7.41
26.32,43.76,6.87
20.72,34.18,4.64
14.62,15.38,2.33
16.51,23.66,3.1
19.88,34.93,3.08
23.01,39.07,3.1
13.46,17.55,7.41
19.45,27.4,3.09
19.28,26.6,2.49
23.5,36.26,3.8
23.21,34.52,4.09
17,26.38,3.26
18.79,27.51,3.69
23.9,38.11,4.24
21.07,33.32,8.96
13.09,13.62,2.18
15.8,22.07,1.63
16.38,24.25,4.69
19.91,31.67,5.46
19.26,32.44,2.41
15.1,19.83,5.4
23.15,34.75,7.25
16.21,23,2.25
15.85,23.21,4.03
15.3,24.13,1.64
15.97,24.35,1.91
13.04,16.34,16.4
20.7,30.61,7.78
29.02,52.52,2.85
19.76,28.99,6.94
19.09,30.12,3.05
23.26,37.96,4.1
23.33,38.15,5.96
23.81,43.01,1.83
13.63,15.14,2.51
20.27,33.29,4.16
17.94,26.76,2.76
14.95,22.59,7.85
21.02,32.28,8.97
21.84,35.41,1.69
22.11,37.41,3.1
24.86,43.37,8.86
19.4,30.87,17.9
16.11,20.35,3.72
28.31,49.48,4.48
11.83,11.26,13.31
11.96,15.35,12.13
18.13,24.07,1.53
20.76,31.45,3.06
9.61,8.12,1.61
14.56,20.16,1.92
17.32,25.95,6.3
18.58,26.38,2.82
21.36,33.99,6
15.15,18.72,2.21
17.27,22.7,1.69
15.82,25.84,4.56
