price,duration,wait_time
11.95,10.97,6.77
11.62,15.86,1.51
7.47,6.35,2.41
12.28,12.23,3.95
26.68,46.82,1.74
18.47,24.21,1.98
12.1,15.46,3.67
19.9,29.56,1.78
18.27,26.53,2.27
20.5,31.47,6.11
19.5,28.81,8.96
15.83,20.26,5.1
22.65,40.25,3.13
15.09,22.76,4.46
6.91,3.9,3.34
13.93,17.64,1.57
28.69,48.06,5.66
18.41,27.24,3.05
20.5,32.6,14.05
10.96,15.03,2.98
18.97,29.01,3.87
23.87,41.47,4.09
17.74,28.32,3.43
24.73,42.05,1.57
17.37,21.52,11.91
14.24,20.87,2.01
15.59,19.5,9.69
15.19,22.73,4.04
23.98,40.87,6.9
28.95,49.01,2.58
15.41,20.05,3.88
20.34,28.28,2.79
18.13,22.81,3.18
25.77,41.22,7.2
17.37,25.9,6.62
15.25,22.23,3.67
18.29,24.94,11.16
16.33,17.73,1.67
26.72,44.34,3.63
18.59,27.54,3.71
15.33,23.25,5.24
22.13,37.64,7.71
15.49,20.95,1.98
20.93,34.64,5.32
16.56,23.27,9.16
22.57,38.03,2.67
21.13,31.79,4.87
20.28,28.86,3.99
18.39,26.73,4.28
19.59,29.6,6.57
13.28,19.1,3.7
19.38,28.22,2.74
23.56,37.84,9.77
18.28,27.54,1.76
17.47,23.97,9.09
22.62,35.69,2.27
20.91,34.44,2.62
20.17,33.44,2.97
16.21,23.95,5.9
19.98,31.55,2.54
14.46,19.9,1.86
14.79,18.36,6.5
23.65,35.19,2.91
27.94,43.59,4.81
11.4,14.94,3.36
15.03,22.78,5.27
21.13,30.61,1.52
21.53,30.93,2.67
19.9,30.26,2.71
24.09,44.15,3.64
22.48,36.74,3.53
26.47,46.9,8.93
23.13,35.64,2.4
11.21,15.29,4.15
21.4,33.92,2.09
18.83,30.47,4.53
11.93,14.02,2.39
20,31.08,3.15
22.67,38.99,2.33
17.03,25.68,3.8
16.14,17.7,1.62
22.36,34.13,2.94
19.9,28.49,5.93
14.97,18.09,4.04
17.71,25.27,5.37
18.5,26.29,2.07
14.43,20.98,5.02
22.44,37.75,4.4
10.45,14.29,1.76
17.42,25.04,9.25
22.25,36.58,2.36
29.48,51.11,4.85
22.37,33.7,4.83
17.93,26.99,11.62
18.02,28.93,6.33
16.13,24.56,5.69
22.94,35.49,3.93
24.65,37.81,6.98
19.81,29.18,4.22
23.55,37.85,2.18
