price,duration,wait_time
15.19,18.81,2.61
21.06,30.18,4
20.3,33.83,7.23
13.49,19.91,4.47
19.28,29.48,7.59
19.59,34.21,5.76
16.66,24.7,3.16
20.54,30.76,3.85
13.94,15.28,3.46
12.98,16.23,3.9
23.34,37.67,1.52
20.46,30.78,6.5
24.28,35.75,2.22
17.07,24,10.56
12.28,12.23,3.95
16.87,22.88,12.11
15.25,18.74,2.07
22.96,33.71,1.53
21.63,33.84,5.47
12.75,14.77,2.27
19.59,29.43,4.95
19.64,25.95,8.14
17.11,25.92,2.55
21.15,32.46,2.89
23.83,35.04,8.83
11.72,7.38,4.23
21.74,37.29,2
21.91,38.13,4.06
22.16,38.81,11.87
15.33,21.4,3.59
18.11,30.73,7.23
28.82,48.2,4.48
17,25.32,1.66
27.22,46.31,1.74
19.85,31.62,2.4
23.23,42.28,1.74
20.16,28.73,9.02
25.28,38.66,3.03
23.02,38.58,14.09
14.49,21.12,1.75
22.09,34.65,8.21
14.31,23.3,2.48
14.86,19.85,2.68
10.05,9.27,7.76
21.28,31.49,5.83
19.59,29.33,3.83
14.29,17.93,9.32
21.55,34.09,3.18
21.47,34.18,2.33
20.21,28.04,3.21
19.97,31.27,2.98
23.8,38.34,1.89
24.25,37.4,4.67
17.79,30.18,6.37
20.32,36.82,2.65
15.62,23.95,6.11
23.55,42.69,2.45
18.41,28.55,5.29
16.66,26.17,2.17
12.13,12.52,5.63
20.96,33.73,5.55
21.32,37.54,1.54
20.88,34.67,3.83
25.01,41.39,2.89
20.17,36.41,1.55
14.16,17.13,5.84
17.94,26.2,7.74
9.26,11.43,32.22
14.77,20.58,1.55
19.38,28.56,1.9
19.94,31.03,2.52
16.76,27.46,2.88
17.26,25.87,3.43
20.34,33.44,7.9
20.48,34.07,3
23.09,35.78,2.76
14.75,20.58,2.07
15.96,24.21,3.58
16.56,26.1,4.7
24.04,37.12,2.24
20.72,35.1,3.52
11.36,15.8,3.82
22.13,33.57,2.16
19.56,30.98,5.45
20.71,31.12,3.08
15.35,20.18,1.66
18.99,27.61,2.81
13.36,15.47,5.89
19.43,31.81,10.16
11.25,9.77,2.92
17.37,23.35,6.12
27.14,45.11,2.03
18.42,26.56,1.52
25.4,44.8,3.7
11.93,11.07,4.05
8.29,4.41,10.72
23.03,33.47,6.22
14.42,18.25,4.5
25.56,42.53,3.01
16.16,26.92,3.42
