price,duration,wait_time
21.38,30.97,3.17
25.81,43.86,1.93
26.75,44.82,7.82
24.44,40.93,3.94
18.75,28.32,3.01
14.07,16.39,2.86
16.23,23.11,2.5
21.46,37.16,1.58
24.87,42.31,1.93
22.19,38.28,3.63
17.37,27.84,3.14
21.04,33.76,5.72
22.81,33.31,3.91
27.94,43.59,4.81
18.87,30.88,5.68
20.88,37.79,2.33
25.01,43.02,1.98
16.23,21.61,4.43
14.48,18.11,8.87
16.5,26.5,5.14
24.73,43.37,9.8
17.17,27.56,2.73
15.97,22.9,5.29
17.18,23.62,1.59
19.89,30.32,2.86
20.45,32.97,7.13
22.21,36.92,6.16
18.98,28.49,3.53
20.14,33.74,2.72
24.29,38.35,2.1
26.47,44.49,1.64
10.69,8.2,2.69
23.19,38.31,1.89
18.76,30.32,3.83
21.27,32.6,1.78
19.6,29.77,3.36
13.57,14.57,3.49
17.72,27.67,1.58
24.56,40.05,2.55
14.29,19.99,2.28
18.67,25.09,3.44
13.09,17.07,10.29
20.16,31.83,3.13
25.47,44.41,8.96
20.7,35.23,8.52
19.3,29.87,6.88
16.95,22.81,5.56
26.8,46.07,1.6
25.16,39.71,8.93
18.33,27.16,4.56
20.59,33.65,3.09
11.06,12.09,6.24
20.14,30.9,3
14.52,19.91,3.1
24.75,44.98,5.47
15.26,23.19,2.93
23.63,40.99,2.27
18.97,32.55,2.9
10.71,7.02,3.18
15.94,23.12,6.56
17.36,28.6,6.41
11.46,9.94,2.96
22.59,36.34,5.49
24.14,39.76,3.27
20.53,29.8,13.76
23.45,33.83,4.99
17.83,27.52,2.41
20.15,31.28,2.88
27.58,46.19,2.29
15.64,22.7,2.54
24.72,43.61,1.85
21.99,34.36,4.66
26.23,46.39,1.57
16.51,20.98,3.05
20.95,27.98,3.26
22.31,37.06,3.19
16.2,21.28,1.51
22.36,35.3,3.93
20.15,31.96,2.6
19.95,32.98,5.88
22.5,35.91,4.37
19.42,31.18,3.56
14.07,19.5,4.09
21.78,35.18,3.22
21.09,30.2,12.51
20.69,28.17,1.75
17.86,27.07,4.43
17.24,23.97,5.22
21.72,36.29,2.11
19.73,30.93,2.77
8.67,5.41,2.17
18.72,26.83,1.98
16.68,20.58,4.14
15.54,25.55,10.56
15,18.66,4.63
23.55,38.45,4.59
12.74,10.67,2.66
20.03,31.59,4.51
19.54,26.14,2.73
19.59,31.33,3.76
