price,duration,wait_time
22.95,32.49,2.56
17.06,24.74,9.27
22.53,40.43,4.01
26.68,43.91,2.78
15.93,22.66,2.33
20.34,25.18,2.86
22.34,35.3,3.53
22.28,38.65,5.92
27.32,46.36,6.37
18.84,27.96,6.86
27.29,49.96,1.7
21.39,32.19,1.67
29.52,53.6,2.7
13.36,15.68,3.02
17.12,25.9,4.63
23.51,38.13,2.83
24.12,39.63,8.55
23.01,37.52,3.47
18.78,29.03,10.47
21.22,33.96,2.47
21.07,30.37,2.38
19.94,29.91,4.39
23.02,40.01,14.33
11.37,13.35,12.6
23.62,39.12,6.87
20.05,29.7,12.92
8.48,5.86,6.96
17.2,27.39,2.2
24.04,38.84,2.7
21.66,34.38,3.68
20.06,32.39,4.06
13.05,12.19,2.6
17.01,24.89,6.44
15.6,21.33,3.29
19.54,28.5,2.25
23.76,37.76,5.7
17.58,28.34,4.65
17.83,26.68,7.55
17.89,24.59,3.77
18.29,30.24,12.81
16.89,22.57,5.58
24.17,38.99,2.94
14.98,20.62,6.63
15.03,23.92,5.56
14.45,14.03,3.24
22.08,36.81,1.54
11.93,12.71,2.08
17.89,27.33,7.14
25.91,47.2,2.74
23.44,37.07,9.91
17.29,26.96,3.62
25.77,39.8,3.58
12.22,14.88,7.16
15.28,23.81,3.3
24.59,38.09,11.04
17.09,21.02,20.41
21.93,34.05,7.4
13.69,18.98,7.26
15.03,22.31,4.5
19.93,30.29,4.56
16.39,21.16,4
18.8,28.63,4.74
24.06,38.13,3.02
15.17,22.37,3.56
18.09,26.43,2.97
17.82,24.16,3.83
14.58,23.18,4.96
20.38,32.77,9.11
22.48,36.74,3.53
14.81,22.07,2.3
26,43.99,4.46
21.39,34.21,8.93
22.1,35.09,2.11
20.14,31.44,1.94
18.24,24.08,7
20.53,30.98,2.95
15.56,23.74,6.73
22.39,35.09,8.11
25.39,44.08,1.89
23.3,36.27,2.89
19.66,30.79,14.16
17.9,26.95,1.84
14.5,20.65,5.18
25.39,38.98,5.3
15.9,23.85,2.43
12.12,12.88,6.49
15.43,22.42,2.66
15.35,20.51,4.31
15.87,24.42,4.31
20.5,30.04,5.34
14.97,19.47,2.88
14.62,19.67,3.48
15.13,22.01,1.5
17.94,24.45,2.11
12.42,13.64,4.1
20.74,33.57,1.98
18.52,25.58,2.31
23.87,42.05,3.22
15.77,22.7,2.56
17.36,26.56,3.5
