price,duration,wait_time
20.21,31.14,2.83
20.61,32.85,3.02
23.1,38.78,2.55
27.17,50.31,9.54
19.54,27.2,3.68
20.18,31.02,2.46
17.24,23.53,4.24
16.23,21.41,3.32
21.95,34.96,6.29
27.78,46.09,2.77
26.04,42.9,7.44
24.92,41.44,2.82
21.44,33.03,1.56
20.31,32.78,1.54
21.07,34.43,7.06
9.81,10.28,1.57
20.07,31.75,4.07
21.4,36.26,4.02
18.35,25.24,2.45
18.93,29.97,8.15
22.15,35.32,4.35
18.57,29.69,2.86
18.29,27.55,2.8
23.02,34.61,2.42
13.16,18.02,6.52
18.1,28.56,5.27
17.57,25.46,2.85
14.31,16.65,2.23
26.38,44.63,4.5
21.11,36.73,2.65
18.95,27.18,3.89
18.29,25.84,8.16
20.68,31.13,2.88
10.57,12.81,8.21
29.4,49.65,4.36
18.19,28.45,3.49
19.76,30.19,5.11
11.3,14.16,6.34
27.43,44.15,4.77
14.54,19.57,1.54
22.95,37.98,4.25
17.12,22.93,2.82
26.52,46.4,5.75
23.62,38.59,4.1
24.69,43.87,1.93
18.58,29.43,7.85
28.32,49.48,1.62
21.4,36.01,4.61
12.54,13.72,1.76
22.25,34.79,6.07
16.61,24.42,3.34
21.31,33.61,5.69
15.11,25.1,3.8
10.41,11.52,3.89
27.13,43.98,3.63
22.64,36.36,1.79
20.57,34.05,2.8
25.62,45.19,2.22
12.95,15.14,7.73
25.43,43.9,3.86
20.51,34.53,1.52
28.24,50.54,7.19
23.87,37.77,3.52
21.08,35.52,3.38
22.69,39.62,1.72
12.74,17.06,7.32
20.41,30.45,3.52
26.11,45.98,4.15
20.16,32.7,4.51
19.8,30.36,3.1
20.14,31.94,3.93
16.98,28.32,1.95
18.12,26.91,3.11
12.32,10.94,6.71
14.34,16.36,2.17
16.92,27.06,3.12
23.06,35.51,4.67
21.22,32.1,3.41
20.82,36.37,2.33
20.86,33.63,9.96
22.3,36.3,2.32
14.24,19.74,2.91
23.63,37.99,1.71
26.71,43.87,4.13
27.82,49.34,2.82
17.29,24.07,2.52
20.72,31.71,1.69
11.12,10.14,2.15
14.79,21.41,1.62
19.79,33.46,1.7
16.28,25.07,4.89
19.27,31.29,3.01
19.41,28.28,3.16
24.06,37.85,5.75
18.41,25.82,1.85
24.59,44.22,5.61
23.98,42.16,4.99
22.17,35.8,5.85
19.04,28.67,1.77
23.25,39.46,3.81
