price,duration,wait_time
22.84,41.04,5.13
23.22,34.65,2.76
15.64,20.14,6.02
16.19,24.95,2.37
17.97,24.67,4.85
22.14,36.07,1.63
20.46,31.94,8.29
14.35,20.48,3.18
22.93,39.91,2.6
14.25,18.39,4.71
26.17,48,3.86
18.5,29.66,3
25.44,43.92,1.75
16.69,25.95,2.02
14.51,19.85,2.99
22.07,33.6,1.65
13.86,17.46,8.13
18.51,29.31,5.17
19.97,33.37,2.09
23.52,36.45,10.88
17.08,21.59,3.01
13.45,19.27,6.92
20.23,30.42,6.88
24.18,41.6,1.69
17.93,28.38,5.01
8.96,8.59,6.44
13.17,15.22,2.58
30.27,50.54,3.31
18.16,28.32,8.82
16.39,23.9,14.98
23.62,37.22,1.58
30.06,52.86,5.95
24.54,38.26,18.64
20.88,34.01,3.62
20.2,27.97,3.73
22.12,38.48,5.16
15.02,19.3,1.81
19.73,31.55,1.56
18.92,26.63,4.77
16.69,22.17,5.28
11.7,13.18,3.75
14.98,24.75,2.63
13.36,15.63,3
20.22,32.32,2.61
21.96,36.57,2.97
23.43,40.37,2.52
15.89,22.46,3.48
12.22,15.44,1.99
15.41,20.72,3.03
19.7,34.51,2
18.93,28.92,6.42
15.06,20.52,3.14
17.2,21.91,2.72
17.63,28.55,2.46
22.63,37,1.98
18.66,28.02,2.73
21.94,35.44,1.59
18.28,27.97,4.55
21.58,32.33,5.46
15.72,22.38,4.08
19.73,31.76,1.89
21.39,30.45,4.02
20.86,30.31,1.63
20.35,29.53,5.12
18.01,26.79,11.82
29.15,49.12,6.46
23.05,36.64,4.87
25.79,46.96,2.57
32.59,57,7.17
21.85,38.39,2.42
24.9,43.97,5.33
21.79,35.82,3.52
16.25,21.04,8.06
20.5,35.64,3.92
13.36,14.04,4.23
18.7,22.27,5.29
20.32,28.34,2.45
15.68,24.14,4.37
28.69,52.82,1.81
15.35,22.2,2.09
21.88,34.62,8.14
21.37,31.99,2.49
19.65,29.13,8.71
20.24,30.9,3.16
21.33,36.4,4.8
19.09,23.73,6.08
14.2,17.11,5.53
19.7,29.09,5.07
19.1,26.23,2.61
20.09,29.54,3.93
21.73,32.47,9.09
26.01,43.16,15.82
19.19,34.46,2.08
14.5,19.88,4.25
24.95,40.53,17.99
21.47,35.2,1.54
19.98,33.11,5.82
21.45,36.61,2.91
22.45,33.82,10.33
18.21,30.4,5.09
