price,duration,wait_time
9.35,10.3,4.43
16.79,27.1,1.55
27.94,48.28,5.46
17.58,25.45,17.33
24.35,42.67,1.83
18.11,29.78,2.21
20.45,34.14,6.24
22.29,35.03,6
19.17,32.78,6.97
23.23,38.42,4.3
23.89,42.95,6.64
15.81,21.82,2.53
21.22,32.1,3.41
19.37,28.16,1.84
19.88,28.2,6.5
19.59,27.52,3.66
23.43,36.23,2.18
27.17,50.31,9.54
13.19,17.76,1.79
18.64,27.18,4.57
31.74,57.2,3.03
15.45,20.4,1.54
25.1,43.38,1.92
13.74,14.52,3.72
22.27,36.17,2.27
15.25,24.12,3.02
30.39,52.85,1.87
18.97,29.47,8.32
12.57,19.2,8.37
26.59,45.84,2.01
26.74,49.15,12.34
17.52,24.67,5.16
18.79,33.93,4.6
21.89,38.1,19.65
23.8,42.44,5.01
11.15,11.71,2.28
15.44,23.28,2.25
20.99,33.69,2.31
26.51,44.77,2.26
16.18,22.86,2.4
16.35,22.01,3.8
13.53,19.58,3.66
20.32,35.66,2.43
23.03,36.04,1.64
16.09,22.53,7.82
20.45,33.36,8.09
29.81,48.42,2.59
21.09,34.97,1.66
17.72,27.67,1.58
15.44,22.63,5.83
17.63,23.67,1.57
18.5,29.08,6.96
25.83,43.84,3.59
23.35,38.48,2.13
18.57,28.63,3.23
12.32,15.71,1.6
24.22,38.6,1.88
23.06,35.04,2.88
26.02,44.11,5.96
21.19,34.79,2.97
15.34,19.96,3.32
17.31,24.32,2.65
24.54,41.13,4.2
24.67,46.54,3.58
18.46,29.47,1.96
20.65,28.84,5.75
28.77,51.02,5.83
14.13,18.85,3.18
32.96,57.73,5.57
21,33.49,2.09
16.38,18.38,3.93
20.75,32.98,1.67
23.44,33.92,1.62
26.42,40.94,1.94
19.57,28.91,4.04
26.41,47.7,2.43
22.46,38.67,1.67
14.57,20.03,2.32
26.08,43.75,3.6
10.88,14.28,6.28
24.96,38.04,5.68
20.31,35.26,6.72
12.4,16.55,2.26
14.29,18.46,4.91
19.34,31.6,2.68
20.3,32.73,5.53
12.47,15.09,1.83
13.17,15.22,2.58
21.89,38.12,4.39
22.17,35.32,2.41
11.27,9.19,3.86
15.05,20.79,6.96
15.72,21.9,9.07
16.57,22.27,2.46
15.02,21.44,10.75
25.39,42.79,4.68
19.52,29.24,5.44
15.47,21.31,5.94
18.18,30.53,1.66
16.87,26.46,2.93
