price,duration,wait_time
22.71,41.44,2.32
24.18,38.51,4.71
14.97,26.12,2.01
16.79,22.5,2.4
10.55,12.3,3.26
20.06,35.76,3.75
21.27,27.88,6.05
12.12,11.45,5.35
28.31,50.09,5.07
18.33,25.85,5.16
17.32,25.04,9.82
16.93,25.06,6.95
24.04,45.74,1.96
17.93,27.16,2.92
12.09,13.41,3.67
20.39,31.13,2.07
14.78,18.68,2.05
13.15,18.26,8.3
21.84,34.42,9.96
23.41,38.15,9.56
21.97,34.8,9.47
19.37,31.68,2.78
23.14,33.86,5.54
9.87,8.4,11.11
26.34,39.38,4.99
23.69,39.79,2.1
5.23,3.24,7.28
13.48,14.77,5.53
25.2,39.57,3.9
29.95,55.51,1.9
8.13,4.07,13.25
11.23,7.44,6.59
20.33,33.31,10.46
20.31,33.68,4.28
24.45,39.7,5.69
22.89,37.39,6.98
25.85,43.36,4.45
22.35,36.91,3.58
27.41,47.14,7.19
25.44,45.76,2.76
13.39,15.01,4.18
8.87,3.86,1.64
17.76,25.95,12.18
10.37,10.06,4.43
23.81,37.94,2.66
13.17,14.53,6.04
18.95,32.88,3.22
17.3,27.42,3.23
14.99,24.51,2.74
20.67,31.82,5.66
21.13,32.58,4.83
27.89,46.13,3.28
24.05,37.52,2.54
14.38,17.17,6.66
15.78,26.14,1.87
27.24,43.01,3.08
17.73,26.08,3.99
13.98,21.81,4.79
26.29,48.84,1.76
22.46,38.27,4.72
14.86,19,1.75
27.78,48.19,4.39
17.62,26.1,2.37
21.43,36.15,3.95
24.43,38.56,3.49
22.24,36.02,4.56
22.42,34.78,2.95
15.29,24.02,3.01
28.7,49.67,2.52
21.51,33.56,1.75
17.94,30.95,3.56
22.83,37.72,1.94
18.03,27.11,7.8
21.01,33.6,2.3
23.04,39.62,6.24
18.16,32.21,2.54
21.78,32.01,5.57
19.43,28.58,3.93
14.61,20.07,3.1
9.58,10.89,1.98
27.7,50.43,6.5
20.29,31.19,1.54
20.31,28.2,2.96
23.06,38.11,4.28
16.46,22.96,5.99
14.68,19.93,3.15
18.58,27.54,5.52
29.16,45.55,5.34
18.22,24.31,1.87
24.2,40.04,2.01
25.7,46.38,1.56
20.66,33.84,3.92
14.9,18.84,2.17
12.91,19.7,2.38
15.35,23.48,9.32
19.41,28.89,8.15
12.46,12.24,9.74
24.77,37.96,2.13
21.24,33.68,2.29
21.45,36.57,2.82
