price,duration,wait_time
27.87,45.58,2.31
28.68,51.31,2.88
22.4,30.97,1.71
17.41,22.85,2.24
24.78,39.81,4.48
17.73,24.4,4.35
17.81,26.14,3.86
22.17,35.41,10.53
14.94,22.3,2.94
20.76,33.08,8.09
21.8,35.58,5.4
16.84,26.08,4.08
22.04,29.71,5.82
16.36,21.41,2.19
16.92,24,2.17
16.45,26.74,5.42
20.27,34.43,3.02
31.11,55.49,1.75
24.06,39.37,8.98
23.31,39.65,2.55
20.17,36.4,1.61
18.88,26.09,3.28
22.45,34.86,2.06
11.73,12.98,2.61
14.6,20.36,4.4
24.26,36.53,3.36
14.87,20.89,2.39
18.13,28.14,4.1
22.89,34.42,2.04
20.8,32.31,4.55
17.68,22.52,2.56
19.85,29.18,1.64
18.3,26.7,5
20.33,32.74,1.97
14.6,20.84,1.95
17.98,26.23,13.33
22.46,33.47,3.31
22.73,38.15,5.2
22.63,36.54,5.73
18.94,27.19,3.08
19.12,26.57,6.18
26.06,44.56,4.34
24.82,40.48,6.32
19.44,28.14,8.55
12.84,18.49,2.69
19.23,28.86,3.44
16.7,23.54,6.51
26.41,47.7,2.43
15.93,23.57,2.8
21.02,33.08,7.13
20.36,30.47,3.32
13.68,19.88,3.79
15.33,19.06,1.94
22.3,30.95,7.44
17.74,26.45,1.58
17.63,26.06,8.94
21.99,36.45,1.88
26.85,41.23,3.61
10.85,12.47,2.94
17.84,25.76,1.51
24.38,39.19,4.25
27.06,46.25,2.27
12.34,13.96,3.16
14.07,20.51,1.63
11.04,13.52,3.01
22.83,38.83,4.76
23.29,34.38,2.94
16.11,25.45,5.35
11.43,12.33,3.87
23.25,39.44,2.33
15.03,20.19,1.62
26.3,46.93,15.36
26.32,44.81,2.31
9.88,13.29,2.05
25.03,40.72,8.16
10.45,10.43,3.44
12.31,16.5,9.53
25.52,41.77,6.76
20.47,33.26,8.77
22.78,36.66,4.05
14.28,20.26,2.54
19.93,29.48,2.37
12.49,14.8,11.12
14.3,16.35,7.83
15.96,19.45,2.66
20.43,32.68,5.67
19.61,33.32,1.74
12.89,15.21,1.98
21.96,30.79,1.85
18.51,28.88,6.59
17.95,29.75,3.33
13.57,15.58,8.18
24.24,37.47,3.43
25.05,38.57,7.55
18.71,28.63,8.19
23.73,42.33,1.94
21.63,34.54,2.65
19.55,29.94,6.45
19.35,26.91,2.51
16.35,24.03,8.77
