price,duration,wait_time
24.23,40.86,2.25
19.26,28.05,8.97
16.14,22.92,4.22
18.8,30.72,2.26
17.03,26.63,3.37
24.02,43.29,8.22
21.11,36.55,3.18
23.47,41.02,2.52
11.29,16.36,1.74
25.26,43.36,3.15
20.96,31.33,3.9
18.98,30.19,19.25
21.84,32.72,3.42
19.2,24.57,6.25
18.63,24.05,4.54
21.1,34.85,8
17.89,29.81,4.47
19.93,29.92,4.35
17.29,24.97,5.18
21.18,28.9,3.5
19.59,28.65,2.92
22.68,36.83,2.1
22.28,35.46,3.43
18.72,25.85,7.12
19.29,28.2,2.9
18.56,28.18,3.17
16.39,21,2.87
9.76,11.43,5.81
14.76,21.34,5.88
16.85,21.63,3.19
21.99,35.25,2.17
23.45,37.65,2.17
13.96,15.93,2.16
21.94,38.1,2.82
19.27,29.19,4.3
12.16,14.36,1.79
24.32,41.48,6.12
23.22,41.71,12.96
21.3,36.04,2.29
15.32,23.4,5.51
19.31,31.45,4.45
19.35,28.7,1.54
22.61,37.49,4.66
14.19,22.15,1.51
24.41,43.34,1.65
11.48,13.2,1.66
14.07,21.05,3.58
16.32,20.93,5.3
25.43,40.99,10.66
13.71,18.96,5.19
15.71,24.79,2.54
9.17,9.56,4.43
18.27,26.95,12.28
18.39,27.86,16.37
19.33,32.15,5.27
23.6,36.73,3.07
15.47,22.48,2.15
23.38,41.85,2.54
20.81,31.18,2.14
15.24,20.74,4.4
30.9,51.54,4.02
24.65,37.79,3.22
16.02,24.51,10.76
15.47,19.86,3.03
14.72,22.14,2.42
13.8,20.12,7.92
16.9,22.16,6.55
23.02,36.38,17.04
16.04,23.51,4.69
20.95,34.82,6.24
13.13,18.12,2.08
14.2,17.74,4.78
11.24,10.9,4.75
20.01,33.24,3.59
11.07,14.66,3.4
17.53,26.17,2.42
18.82,25.85,8.78
21.79,34.12,1.98
27.55,48.89,4.9
17.1,24.1,7.52
23.08,40.93,2.02
19.81,28.31,3.17
16.85,25.34,2.39
19.27,25.53,2.62
15.8,21.43,3.05
24.24,43.41,3.04
17.99,24.07,2.64
20.82,32.51,8.11
20.83,34.95,7.06
19.73,32.07,5.7
27.15,46.86,4.26
15.9,20.78,2
19.67,34.74,1.69
12.77,17.69,5.56
16.9,24.52,1.97
25.16,41.6,2.68
20.09,30.57,6.58
28.78,49.62,2.19
20.23,34.07,2.99
24.95,39.01,3.28
