price,duration,wait_time
22.7,39.06,2.31
25.82,43.1,3.54
12.57,16.36,2.22
35.04,64.17,6.34
20.4,28.68,9.15
20.92,35.28,4.27
19.06,30.58,6.01
20.31,28.75,3.22
15.82,22.18,12.04
17.44,25.76,3.54
19.22,26.41,3.43
19.26,26.88,5.58
19.96,30.18,3.66
21.52,35.23,2.15
26.79,45.44,4.04
18.95,26.42,5.55
20.78,35.1,3.93
17.27,23.38,2.89
20.43,31.39,2.3
23.65,37.74,1.79
21.34,30.48,2.66
15.43,27.72,6.77
21.97,36.67,1.77
22.09,33.63,1.65
24.87,42,3.51
18.53,27.95,8.79
17.72,28.93,10.23
15.99,22.81,7.46
17.31,27.69,9.39
13.3,11.65,8.05
21.82,33.79,1.83
21.73,33.05,6.29
18.65,28.6,4.91
16.33,23.3,3
10.65,14.76,2.88
21.51,37.76,3
17.6,26.64,10.32
28.05,44.24,2.79
22.3,35.92,5.18
15.09,22.34,7.54
23.65,40.14,3.49
23.94,44.1,4.34
21.21,31.89,4.56
17.46,27.83,2.17
12.73,14.51,3.63
31.9,55.42,10.95
25,42.35,9.73
24.83,41.63,8.52
15.83,22.31,10.13
15.65,22.24,6.63
22.52,39.2,3
17.17,26.99,1.95
10.33,10.43,1.58
19.33,29.76,5.34
17.64,30.11,5.27
11.37,13.35,12.6
16.53,24.65,7.55
22.95,35.13,7.33
19.71,30.02,6.25
27.72,43.15,2.55
22.37,38.75,4.12
20.02,31.53,3.76
17.02,21.4,3.08
25.49,37.7,2.43
19.89,32.7,2.03
13.09,18.41,2.3
23.85,43.75,3.27
22.67,35.52,3.66
23.75,39,1.75
19.49,29.32,1.69
19.8,31.99,2.62
6.42,5.55,2.43
20.89,32.74,5.07
16.25,22.87,3.63
13.6,22.26,2.31
20.91,33.19,10.34
18.38,25.2,5.7
15.37,25.1,1.52
18.46,30.29,1.68
18.68,27.67,2.98
18.26,24.26,2.96
27.36,48.89,2.58
16.56,27.05,3.15
23.6,37.23,4.08
23.26,37.19,3.34
29.47,52.31,5.31
22.64,33.55,2.18
18.5,27.27,5.4
14.64,20.15,4.68
21.57,35.77,3.03
19.57,30.46,7.86
15.15,22.31,7.95
14.43,21.52,3.41
18.26,28.37,5.29
16.18,27.12,2.12
30.32,49.46,4.81
13.44,13.15,5.16
19.96,31.85,4.27
18.65,29.13,3.51
19.66,31.39,3.81
