price,duration,wait_time
17.77,25.53,11.34
26.65,45.59,4.75
20.08,30.03,7.17
23.73,41.79,5.01
21.56,32.97,8.37
18.88,30.82,2.84
20.77,37.75,7.82
23.44,37.29,1.53
19.62,32.23,1.96
13.43,14.09,1.53
13.82,17.72,2.16
18.45,28.01,3.53
17.87,28.12,3.04
14.34,19.93,4.55
24.21,39.37,9.14
16.3,21.75,4.55
15.85,20.36,3.92
21.76,36.76,7.84
21.11,37.07,1.77
16.21,24.68,7.38
19.26,28.2,1.89
19.35,29.87,9.09
16.26,26.15,3.45
17.83,23.62,2.86
14.92,23.14,3.37
23.87,38.14,4.46
13.42,20.27,2.77
11.51,17.56,1.66
16.49,27.19,2.06
26.25,44.81,6.89
14.48,17.76,6.54
21.21,34.59,3.88
23.35,36.18,10.35
14.48,20.47,1.76
17.26,28.36,2.38
19.47,34.88,6.56
16.22,17.61,4.07
14.19,17.56,5.07
20.94,37.46,4.16
18.36,28.76,7.91
20.87,33.26,10.02
25.26,40.5,1.56
15.28,20.31,1.91
18.75,27.44,5.73
8.2,4.58,8.51
21.69,32.95,3.56
25.76,43.55,3.03
9.47,6.74,8
18.22,28.73,5.9
13.2,16.29,2.8
24.38,42.16,2.74
17.92,30.3,2.46
16.67,21.78,2.98
21.33,33.86,4.1
22.21,36.92,1.85
30.35,54.75,3.76
16.06,24.31,8.7
11.73,18.49,3.15
19.01,29.26,4.07
28.02,46.03,6.46
17.36,23.72,9.47
30.45,52.17,4.43
24.06,37.92,6.8
13.53,17.05,6.5
19.83,32.51,10.35
20.63,35.13,2.24
18.21,28.42,7.38
12.67,16.51,3.42
25.8,43.43,2.76
24.53,41.13,2.53
24.56,41.53,7.7
29.08,52.27,13.8
22.32,33.73,6.11
17,26.08,8.49
21.33,38.79,2.64
22.23,38.11,2.53
16.31,23.84,4.93
13.44,15.27,4.29
24.22,39.35,5.9
11.44,13.44,2.59
12.57,17.73,1.64
16.91,24.62,1.53
15.78,23.06,3.67
23.68,39.43,10.51
21.52,36.88,5.66
25.4,41.95,2.15
22.11,40.11,4.81
21.76,36.68,10.94
15.54,20.65,8.7
28.21,48.98,2.38
20.75,30.71,4.85
23.71,38.18,4.69
20.67,32.69,3.34
18.33,26.96,2.25
24.76,42.22,2.84
14.05,16.68,3.11
24.83,44.69,1.53
13.37,15.4,3.35
20.84,35.46,8.06
23.85,38.5,11.02
