price,duration,wait_time
21.82,37.21,1.95
23.63,39.44,8.01
21.48,33.9,3.11
24.41,39.41,6.02
12.73,14.44,4
20.06,31.84,5.85
20.51,31.61,1.99
16.25,23.64,12.78
14.28,17.66,7.23
16.96,25.44,3.89
17.3,22.56,7.2
21.29,36.86,4.52
25.45,45.76,3.39
21.46,34.73,7.11
22.8,34.21,6.91
22.31,36.76,6.36
16.86,26.05,4.93
10.05,9.03,2.94
26.65,47.63,2.45
26.58,44.71,4.36
17.3,27.23,5.29
24.37,41.99,13.32
16.43,20.16,1.66
11.49,12.85,1.55
13.19,19.88,4.11
18.89,27.35,2.67
22.52,35.39,8.37
21.99,38.66,1.93
22.31,35.46,2.19
17.32,23.27,2.35
23.74,38.35,3.12
21.82,36.57,4.38
20.19,31.66,9.04
19.36,26.77,4.61
22.98,37.38,2.34
17.71,27.24,3.84
21.98,36.57,1.96
19.74,31.59,1.66
12.6,13.45,1.9
14.62,17.76,3.91
18.17,33.74,4.36
17.28,26.16,2.47
13.66,19.76,3.26
25.46,39.19,7.61
20.4,33.8,2.62
22.49,37.19,2.26
26.46,45.42,1.97
23.44,42.19,12.32
17.42,24.84,6.23
20.2,30.01,1.92
21.18,34.01,2.52
15.65,24.88,2.8
14.6,20.92,3.32
19.14,30.47,1.77
15.47,22.35,2.33
17.51,26.9,8.88
19.7,31.63,3.57
15.19,19.58,6.12
16.41,23.09,10.27
13.5,13.8,1.75
17.8,24.38,1.85
24.58,37.23,6.47
19.19,31.01,2.02
15.19,21.19,2.81
22.38,35.18,2.03
8.5,7.22,6.24
21.69,32.29,5.92
17.86,26.52,4.05
16.87,20.1,4.28
16.71,24.09,1.53
20.22,30.98,1.98
16.16,25.43,2.2
18.02,27.48,3.91
23.27,41.78,1.79
25.55,44.12,1.65
24.46,38.39,6.21
14.38,22.08,1.53
22.01,36,4.86
14.92,20.42,2.66
17.99,25.57,3.4
21.4,34.74,11.24
21.74,32.81,3.22
18.51,26.79,6.49
12.54,13.87,3.6
19.05,28.3,4.35
18.59,32.23,1.96
11.11,12.16,1.9
15.49,21.98,5.34
19.3,28.97,3.04
17.7,31.59,6.61
10.83,9.35,2.62
16.5,23.67,7.19
19.79,31.7,2.75
7.53,5.13,5.11
16.99,21.69,2.17
15.58,24.51,4.27
18.93,28.63,15.19
15.73,22.05,2.65
23.44,40.42,2.96
17.08,21.59,3.01
