price,duration,wait_time
19.06,33.42,3.53
13.03,14.75,9.38
19.82,30.69,3.8
21.3,35,1.53
19.95,34.01,2.77
10.49,7.89,3.39
25.43,37.03,4.4
17.25,24.85,4.28
23.04,37.6,1.51
20.82,35.57,4.07
23.04,34.17,2.05
18.08,27.47,2.13
23.44,38.13,2.41
24.5,39.18,5.49
14.2,22.98,2.85
20.49,33.2,5.58
21.49,36.11,2.99
26.62,46.1,2.19
25.13,45.4,7.49
11.17,10.43,7.42
24.7,42.9,3.57
11.86,16.62,1.99
20.07,33.47,2.21
18.12,26.91,1.99
19.26,30.15,4.69
13.27,15.8,2.36
16.26,24.3,1.84
20.93,30.95,6.23
24.59,38.87,2.38
18.26,27.77,2.15
13.12,13.63,2.7
21.94,33.46,3.73
24.67,44.92,4.35
23.74,39.3,2.68
27.56,46.6,4.38
18.55,30.14,13.95
18.48,25.96,1.95
15.18,18.98,4.2
20.72,30.91,6.34
22.61,38.87,3.97
22.79,34.74,6.02
16,22.91,1.72
22.38,37.84,3.09
15.53,21.5,6.93
20.46,34.19,2.1
14.75,20.52,3.41
15.03,23.33,11.86
23.4,41,7.01
15.95,22.24,2.74
20.05,26.64,3.13
16.84,25.63,9.74
13.75,17.26,2.04
17.18,24.41,6.13
18.19,25.86,4.09
23.43,42.06,6.7
21.08,30.13,3.11
19.55,29.57,2.13
19.26,30.84,5.72
22.28,40.17,4.79
11.83,15.51,7.23
19.88,31.65,3.96
24.24,38.31,2.13
17.34,29.87,5.47
16.6,20.8,1.78
17.64,25.93,2.33
12.29,15.42,5.23
16.5,26.97,2.17
19.46,27.18,2.85
17.34,27.72,1.88
25.85,44.79,10.02
25.93,40.21,5
20.02,29.2,4.23
19.56,30.11,7.51
18.63,31.51,3.07
22.83,37.36,1.65
17.55,25,12.72
18.11,29.78,2.21
19.88,29.35,3.29
13.81,16.6,6.49
24.24,35.82,5.6
20.32,31.66,2.36
20.29,33.71,6.56
19.45,31.31,3.36
20.04,31.36,9.79
15.36,22.9,5.54
24.06,38.13,3.02
21.6,38.67,1.66
33.42,59.75,3.15
14.75,20.95,2.47
18.54,26.79,5.64
13.05,15.96,1.94
11.07,11.86,1.54
12.45,15.78,3.33
23.18,38.33,6.5
17.74,26.72,2.52
22.45,35.82,4
20.37,35.99,3.17
22.18,37.96,2.46
13.35,16.33,6.72
15.31,23.1,4.62
