price,duration,wait_time
18.68,26.49,1.74
27.54,48.02,3.78
16.97,25.17,3.49
20.05,35.08,4.7
26.99,45.52,1.69
20.72,30.91,6.34
23.39,43.06,1.75
20.19,31.77,2.17
15.98,22.57,5.72
21.24,36.08,2.3
24.26,41.32,7.35
17.07,25.51,2.97
19.19,27.11,4.99
21.37,34.68,4.76
24.11,39.17,2.1
19.77,32.88,4.6
25.86,45.45,6.44
21.03,36.3,2.13
15.18,24.71,4.9
12.8,13.34,1.73
23.19,34.58,4.87
21.62,35.89,3.49
22.04,35.63,8.8
18.59,31.99,4.75
21.89,38.42,1.83
19.19,27.79,1.85
22.14,36.93,1.88
19.09,29.26,5.89
17.72,22.82,3.42
26.65,46.15,8.47
22.16,37.11,1.88
20.7,25.36,12.55
16.39,22.3,10.07
19.84,33.49,2.37
21.55,36.02,3.64
18.01,28.59,3.13
20.91,34.44,2.62
22.12,37.43,5.25
20.37,32.24,2.1
22.16,41.29,1.75
19.38,25.79,3.98
17.6,26.48,1.96
18.67,27.74,7.13
16.48,23.36,4.28
23.32,34.92,1.67
12.14,8.52,2.11
29.78,51.09,2.09
11.81,11.44,6.69
20.27,33.55,7.11
19.63,31.9,4.11
16.05,24.67,3.55
11.39,16.64,2.56
13.93,18.8,2.89
25.06,40.22,1.63
17.73,23.86,6.56
15.6,26.26,2.08
25.41,43.52,4.34
19.46,28.62,3.31
18.66,25.58,3.02
28.12,45.73,1.96
21.32,34.79,3.94
23.44,38.43,8.2
21.95,34.52,9.33
18.88,28.02,3.34
18.82,28.24,4.89
16.32,23.52,7.79
12.79,10.19,5.75
20.72,35.3,2.12
20.53,34.53,4.72
20.32,30.75,4.82
27.07,46.76,3.9
22.2,32.89,1.98
11.15,10.89,8.24
16.32,25.05,3.48
23.17,37.83,3.38
25.19,43.25,7.64
23.13,35.92,1.94
18.97,31.55,2.34
19.23,26.89,3.88
24.3,43.76,3.33
28.08,49.1,1.51
25.16,41.97,2.48
15.56,19.96,1.93
12.3,18.62,3.07
15.1,20.54,3.23
12.61,13.09,6.71
21.87,34.41,2.24
21.77,35.24,3.05
18.5,25.75,2.05
21.13,31.92,10.41
15.93,22.32,3.27
20.52,32.04,2.42
23.99,41.54,1.93
23.46,37.19,6.09
18.12,25.05,8.57
25.35,41.35,4.35
14.77,22.52,2.02
16.94,26.13,7.31
26.41,44.92,2.69
24.93,40.82,1.99
