price,duration,wait_time
21.06,34.45,2.73
20.7,29.5,4.07
17.01,27.91,4.16
14.25,20.36,5.7
11.55,10.84,3.57
21.89,33.26,5.46
25.86,41.12,2.38
21.18,33.9,2.24
20.06,32.03,3.54
21.05,35.29,2.91
16.65,25.92,8.21
13.2,19.14,2.8
12.87,17.3,5.41
23.22,35.78,1.99
22.83,37.16,1.71
24.58,40.58,2.66
20.31,30.72,1.72
18.22,22.53,4.24
14.78,23.64,2.47
19.8,30.36,3.1
18.27,26.56,8.76
24.4,39.5,1.69
24.18,41.83,7.17
12.49,14.33,2.41
18.34,26.33,5.59
14.79,22.35,4.51
20.38,31.83,2.8
27.25,46.89,1.68
14.08,16.74,3.49
25.39,38.83,4.56
18.73,30.38,4.33
18.37,27.48,2.88
22.72,37.74,3.01
20.19,30.82,3.07
14.23,25.01,3.76
18.48,32.33,7.03
21.07,33.15,10.43
21.84,36.62,4.8
18.8,28.6,5.15
20.4,33.98,1.58
15.22,19.81,4.09
17.77,23.04,3.32
14.65,19.41,2.78
23.12,36.08,2.34
20.65,35.27,2.55
15.7,20.55,4.04
20.68,32.96,5.91
31.13,53.89,4.92
21.3,35.93,1.78
17.84,29.75,7.1
21.37,36.01,3.41
22.44,37.87,4.07
21.72,33.57,2.01
18.26,28.43,3.7
13.84,17.5,14.85
12.23,13.19,3.7
21.17,36.77,7.24
16.71,25.47,1.81
17.42,30.54,1.81
18.35,32.2,2.88
19.18,30.48,3.09
18.13,23.67,3.41
24.11,40.59,2.61
26.15,44.1,1.68
9.44,7.98,3.96
22.75,39.74,2.19
23.98,40.84,4.25
17.39,25.97,2.33
17.29,27.41,1.53
15.76,18.61,3.56
23.54,40.33,17.82
18.54,30.64,10.7
22.63,37.85,3.52
22.7,40.55,1.68
13.31,16.25,11.24
22.43,37.64,1.86
10.07,10.85,2.68
14.86,17.95,2.12
9.99,13.93,3.13
16.22,20.57,2.44
21.21,38.63,8.07
19.75,29.53,2.32
21.49,31.48,3.19
19.2,31.88,3.37
22.38,32.93,2.58
18.07,26.65,3.69
16.32,21.28,10.05
19.56,27.03,2.57
14.82,20.54,2.31
27.57,46.24,4.89
18.1,25.01,2.86
20.55,32.19,5.38
20.93,31.55,1.72
26.42,44.13,6.57
15.86,21.39,3.56
17.52,25.79,5.27
14.71,22.74,1.52
20.45,34.54,1.81
16.74,25.7,2.86
18.51,26.51,4.02
