price,duration,wait_time
21.73,33.95,7.6
17.95,26.47,5.16
13.7,19.41,5.63
19.52,29.96,12.9
10.32,9.52,5.84
24.19,39.11,1.57
18.57,32.38,5.8
23.04,39.78,3.07
16.94,24.18,6.13
20.08,29.22,6.03
25.12,41.88,1.66
20.22,30.09,2.41
13.35,16.8,3.49
16.42,22.08,1.63
20.52,32.25,1.62
25.23,43.06,4.32
22.26,35.8,5.17
19.45,28.78,3.92
29.95,53.86,4.65
18.1,26.44,3.67
17.86,24.7,2.78
22.34,34.25,3.99
27.58,50.99,6.84
22.46,37.11,6.72
29.67,49.04,2.95
20.27,32.96,2.94
23.24,39.08,2.69
21.12,33.91,7.12
18.15,27.92,4.02
18.42,28.97,4.85
16.71,26.82,2.47
19.08,34.34,1.98
21.87,38.47,5.33
24.72,44.95,4.61
15.04,20.14,2.02
18.3,25.91,4.44
16.12,21.84,2.1
15.76,20.28,5.78
30.51,51.95,2.56
23.73,38.24,5.41
20.5,30.44,6.39
11.43,14.26,1.67
23.54,35.37,2.19
19.72,28.39,3.37
15.72,18.86,1.54
18.27,25.55,6.66
12.69,17.61,1.79
14.13,18.07,1.81
24.12,40.59,2.33
28.07,46.6,2.82
13.46,18.33,1.63
25.45,40.41,4.83
13.85,15.79,2.9
23.5,38.97,1.67
24.57,40.3,12.44
20.34,29.81,3.36
22.92,42.23,10.9
17.22,24.5,6.23
15.39,20.6,2.99
11.07,14.66,3.4
21.42,36.41,3.12
21.51,34.57,1.67
17.95,28.87,2.63
19.87,30.16,5.5
13.13,17,1.97
15.81,21.46,1.57
24.42,42.4,3.81
19.19,32.93,5.23
17.66,26.34,2.04
16.53,23.44,2.65
17.24,26.93,14.45
18.33,30.07,2.52
17.85,28.33,3.27
24.71,36.18,7.17
27.07,50.04,2.53
22.19,38.54,9.71
13.3,13.96,1.51
18.57,28.48,6.69
18.53,24.12,15.07
17.28,23.92,3.86
18.87,29.04,7.07
17.28,27.55,1.79
17.6,26.11,1.79
19.09,30.23,5.97
17.37,22.86,3.11
13.52,13.55,8.08
22.22,38.84,4.78
17.74,29.5,2.72
17.8,25.72,1.99
19.18,28.67,2.05
15.99,24.31,2.34
19,29.81,2.5
21.32,36.03,3.09
19.37,30.16,11.06
13.15,15.71,2.74
21.01,34.91,2.36
20.1,33.17,4.83
19.96,33.22,6.48
17.85,26.71,1.54
17.64,26.78,1.67
