price,duration,wait_time
23.31,38.66,2.58
17.28,24.32,4.96
16.52,24.88,2.47
22.37,35.54,4.41
16,21.36,5.02
23.17,39.42,2.76
14.54,19.39,1.77
18.24,28.25,3.65
26.29,44.86,2.1
16.54,23.58,1.65
13.22,18.2,2.6
26.06,48.18,5.55
22.22,36.2,8
17.37,26.91,2.38
21.27,34.02,3.72
18.01,29.78,5.43
24.37,38.88,5.01
22.07,33.99,3.44
26.03,43.86,4.2
21.03,32.5,8.03
7.25,6.03,3.86
12.71,15.03,3.84
18.5,28.34,2.35
21.81,34.1,4.97
18.89,29.93,3.67
21.69,38.26,3.57
13.29,16.96,5.91
10.4,12.14,4.61
12.43,13.32,3.69
19.37,28.57,17.13
15.65,21.92,4.52
15.22,20.6,4.51
19.69,27.62,3.82
25,39.02,6.65
15.26,21.02,5.17
20.64,35.81,2.21
21.64,33.66,2.42
23.54,37.75,2.42
22.46,33.85,1.78
25.52,41.62,10.44
12.97,15.28,4.42
15.91,24.6,5.73
15.27,20.93,12.46
25.79,44.11,2.69
21.78,33.71,4.74
16.8,24.57,3.19
12.4,13.28,2.01
15.85,19.06,4.75
7.89,5.59,2.07
21.8,35.92,9.33
9.99,10.81,2.18
20.28,29.44,11.16
17.4,27.71,2.36
15.34,23.22,1.97
19.12,27.74,2.81
14.83,20.27,5.18
18.68,28.42,4.98
24.62,42.43,7.25
19.11,31.56,10.03
18.08,26.69,3.79
18.91,30.83,4.49
27.69,48.24,1.85
16.71,26.72,9.89
12.94,16.14,2.85
18.07,28.61,4.39
20.51,35.08,8.21
13.91,17.66,2.4
26.35,44.08,7.29
28.64,50.58,2.11
17.54,25.1,2.26
18.81,27.64,1.55
22.43,35.79,1.91
26.98,45.69,3.17
23.12,36.79,3.75
22.63,36.98,1.61
23.83,39.12,5.35
18.55,26.85,2.35
20.28,29.78,2.98
17.04,29.25,2.78
22.6,37.92,2.28
29.38,52.1,2.43
27.26,47.35,3.49
22.18,38.38,8.82
22.21,34.45,3.14
10.51,10.2,4.41
16.14,24.62,5.69
16.72,24.64,2.59
15.99,25.71,3.01
13.29,16.88,9.61
17.07,24.18,9.81
12.51,11.98,4.55
25.08,40.22,1.7
11.23,15.73,1.75
24.61,36.69,3.25
15.45,23.55,1.55
28.84,49.99,4.65
20.69,31.42,5.55
9.01,7.27,7.7
27.26,44.65,1.69
20.48,31.17,4.69
