price,duration,wait_time
22.61,35.24,3.4
15.38,24.35,3.21
25.1,44.25,11.87
13.25,12.34,1.91
27.83,50.44,1.84
15.98,24.91,1.74
16.42,22.08,1.63
29.18,49.06,3.74
17.07,25.33,2.66
17.62,24.79,3.03
15.23,21.37,2.19
16.07,24.34,13.58
15.99,23.9,7.48
12.66,15.67,1.69
17.18,24.94,5.83
12.84,21.37,15.67
30.96,53.71,3.43
22.9,35.43,2.56
21.61,37.52,2.33
29.01,49.5,2.78
24.79,42.17,2.9
23.15,37.47,12.17
27.08,44.38,3.22
20.32,31.66,2.36
29.66,51.1,1.89
19.44,28.37,5.42
13.52,19.77,17.01
14.3,16.01,2.31
15.23,25.08,7.64
27.07,45.6,2.11
21.71,33.26,2.82
20.94,33.52,4.29
23.64,41.65,3.07
17.89,26.9,3.69
15.75,17.93,1.75
9.28,5.29,3.09
12.47,14.25,3.12
18.92,28.02,3.71
26.68,46.82,1.74
23.47,42.8,1.58
14.93,20.73,4.9
29.63,53.4,1.91
17.47,26.49,6.78
17.88,28.22,3.06
21.24,28.78,2.76
25.62,44.61,5.62
22.1,37.06,10.27
17.43,24.15,3.2
19.16,31.07,1.95
18.14,27.45,3.42
13.9,20.31,1.86
32.16,59.71,8.03
17.95,24.36,2.31
17.11,28.99,6.83
20.74,33.23,4.75
16.12,23.11,5.08
29.54,49.31,3.11
9.04,6.23,2.19
24.41,43.34,7.96
13.2,21.1,6.25
25.28,38.26,1.56
27.35,43.57,4.65
29.27,49.1,5.94
23.83,40.67,2.15
19.07,26.58,2.1
15.85,19.71,4.67
24.6,40.26,2.39
17.94,28.31,5.69
21.34,33.26,6.69
19.15,31.42,7.53
22.71,36.22,4.55
17.87,29.03,3.38
26.44,44.94,7.73
21.11,33.7,5.22
14.14,19.59,2.35
20.15,31.57,2.43
14.64,20.15,4.68
25.68,40.18,12
18.4,22.73,3.29
28.34,50.07,4.54
25.3,44.45,1.93
21.61,32.63,2.73
12.06,14.56,4.05
16.74,25.03,4.45
14.04,20.31,15.87
21.11,32.73,3.92
16.99,26.07,1.94
21.44,32.38,1.71
22.47,36.12,5.48
17.93,23.74,2.46
18.16,31.2,1.61
20.33,32.48,1.62
16.36,22.88,4.57
17.31,24.33,11.54
18.49,25.66,1.62
10.97,12.14,1.9
24.68,43.01,1.9
16.45,23.72,2.49
27.82,45.47,8.09
17.2,24.53,1.78
