price,duration,wait_time
13.49,19.91,4.47
19.1,30.6,1.5
13.56,18.23,3.32
19.7,29.68,1.89
22.45,37.48,4.98
15.5,21.36,2.33
18.98,28.65,3.12
23.12,42.59,2.6
16.51,22.49,2.12
18.74,27.75,6.89
17.23,28.51,2.11
20.07,32.39,1.72
22.9,35.69,9.45
15.13,19.37,4.52
16.39,24.46,4.94
18.5,27.51,4.98
19.27,29.66,5.09
16.01,22.65,2.59
16.04,19.9,4.38
19.77,26.82,5.9
17.82,27.67,5.63
16.44,22.36,3.24
12.19,14.85,1.74
21.09,32.29,2.95
15.03,25.46,3.5
30.86,57.55,1.96
28.02,46.03,6.46
22.31,36.87,8.61
15.41,23.99,5.98
22.45,33.73,2.24
22.5,39.6,2.08
22.35,35.17,14.35
15.57,22.43,3.34
18.43,30.12,2.37
20.43,33.64,5.35
9.69,6,1.7
19.22,31.01,4.29
21.47,36.72,2.43
18.58,26.63,1.82
15.62,22.26,6.01
21.98,37.67,2.22
25.56,45.63,1.73
18.83,32.64,2.61
25.17,44.66,2.06
26,49.43,4.85
13.96,17.04,12.79
19,31.98,5.13
21.67,35.19,2.9
23.4,37.72,2.94
22.14,36.17,4.82
18.64,27.84,2.48
14.09,21.88,3.36
29.82,53.38,9.68
13.58,15.65,10.37
19.12,30.98,2.54
22.18,34.11,10.91
26.44,44.25,2.93
21.05,31.1,2.9
26.7,45.46,3.31
18.8,28.16,1.84
22.78,36.78,1.82
25.36,48.63,1.55
9.66,7.19,2.44
14.64,23.66,1.92
12.66,16.91,13.19
19.09,31.4,8.34
16.69,23.41,3.03
20.45,32.24,1.65
25.88,43.42,4.67
14.7,18.35,1.89
18.06,28.66,1.97
12.02,17.92,5.13
24.89,42.62,2.81
18.8,28.67,4.67
17.03,25.68,3.8
24.32,37.03,3.08
15.36,19.69,8.46
16.4,23.8,1.55
15.65,21.43,11.82
18.45,30.22,2.52
15.07,18.83,6.04
17.68,25.31,6.72
26.3,41.85,13.93
21.21,30.49,4.23
24.61,43.13,2.32
20.07,32.31,7.86
16.51,20.79,10.54
17.13,24.37,3.33
9.05,11.06,2.19
19.01,29.8,2.62
19.81,30.18,9.55
25.56,44.44,2.14
15.19,23.37,5.64
25.54,45.03,3.8
28.5,48.62,4.81
18.16,27.73,16.8
8.55,4.69,4
17.97,25.78,6.76
28.11,48.42,8
18.13,25.86,6.58
