price,duration,wait_time
21.07,32.51,1.51
23.39,35.54,2.44
12.71,18.62,2.69
20.47,28.86,2.99
18.01,24.22,3.74
20.28,35.25,8.4
24.7,44.91,9.67
21.31,35.96,7.84
21.64,38.84,2.63
17.43,25.83,5.54
21.55,38.62,8.52
12.66,15.03,11.46
17.54,26.3,6.71
22.96,38.13,2.8
31.18,54.33,1.97
9.57,8.41,1.67
25.57,45.39,1.92
21.69,31.51,3.99
19.91,30.25,2
18.22,25.2,3.32
17.89,26.09,3.58
15.08,21,5.89
20.18,31.76,1.77
27.55,48.01,2.76
16.22,19.84,2.84
25.83,46.14,1.97
16.61,24.76,6.35
19.86,32.49,1.61
17.25,24.9,2.65
23.5,40.4,2.56
23.39,40.13,3.72
14.3,16.98,7.88
12.97,16.5,1.76
13.41,15.52,3.7
26.36,44.23,9.12
8.71,8.9,4.13
23.45,37.38,4.87
22.58,37.02,4.48
19.68,32.6,6.74
16.19,24.98,3.74
16.7,26.11,3.87
14.8,19.23,1.62
22.64,39.82,4.23
16.46,19.43,4.72
13.17,13.93,2.23
22.16,34.76,4.76
18.54,27.05,14.02
27.91,47.97,2.13
24.84,43.07,3.36
31.27,56.53,1.89
24.4,43.1,15.13
22.71,39.54,8.84
21.07,30.98,5.05
15.15,15.04,2.64
18.23,28.11,6.43
15.47,21.68,3.41
18.23,26.66,4.64
11.54,15.57,4.1
19.64,32.01,3.28
23.82,36.46,6.45
18.66,26.6,6.93
20.54,31.94,3
27.58,48.24,3.27
10.01,11.34,1.78
21.02,32.11,1.55
10.89,17.85,19.68
22.52,39.21,5.33
28.02,48.99,5.23
17.62,24.73,8.01
22.94,40.65,1.89
22.39,35.88,3.37
22.52,34.85,2.15
22.93,38.66,6.09
23.28,41.34,5.53
22.91,38.92,1.66
21.37,32.43,14.83
16.26,23.76,9.79
17.45,26.02,2.95
14.53,22.86,4.66
27.18,46.85,3.2
22.69,37.67,4.03
24.95,42.7,7.94
23,35.28,12.73
20.31,32.11,2.95
23.7,37.39,2.42
17.13,27.23,5.97
11.39,11.73,1.87
14.83,19.86,3.2
24.45,39.54,3.13
17.6,26.47,5.37
25.57,43.14,4.48
20.07,33.79,5.59
19.81,30.09,5.48
19.11,29.02,6.01
18.52,26.46,20.68
22.13,35.69,1.55
17.05,22.26,9.61
29.95,56.49,8.35
14.64,20.15,4.68
17,25.45,4.48
