price,duration,wait_time
15.26,23.43,1.96
18.01,28.75,5.73
24.42,40.5,5.07
20.24,30.3,3.88
14.7,20.79,6.97
20.57,32.05,6.29
20.97,35.07,1.7
23.69,39.19,3.07
16.58,24.14,3.26
13.5,15.02,2.98
24.21,39.72,7.99
23.62,35.8,5.59
22.05,35.18,1.54
24.89,39.9,5.95
19.84,30.02,6.33
18.3,24.48,8.85
24.12,41.96,1.51
24.02,40.79,4.96
19.45,23.64,8.25
13.71,15.52,1.62
19.69,30.86,1.57
15.46,18.47,2.24
18.58,26.22,2.11
19.48,29.58,2.33
21.16,31.13,4.07
20.97,33.3,6.32
22.48,34.53,17.68
23.16,39.08,3.22
19.25,27.89,3.06
10.41,8.32,1.54
16.36,21.11,4.46
17.71,25.23,2.09
19.33,30.8,2.65
20.17,34,3.94
21.87,38.46,1.74
21.23,33.14,3.29
14.66,20.36,7.98
16.88,23.69,3.7
17.7,23.84,5.17
17.32,27.07,12.46
19.9,27.66,3.51
23.14,39.96,1.97
10.64,11.37,5.63
14.71,21.62,2.92
23.56,38.01,3.43
17.33,29.66,1.9
20.54,30.17,3.8
32.17,54.47,5.77
24.3,38.14,2.61
18.93,27.08,9.34
20.62,33.11,6.75
9.34,9.21,3.93
23.06,38.35,1.59
18.35,26.07,2.56
23.21,35.02,4.06
14.9,17.25,1.77
21.72,34.4,6.18
22.75,35.46,4.29
34.41,62.15,2.73
21.62,31.31,3.22
10.54,9.93,3.99
13.19,19.03,4.2
22.92,38.75,2.74
20.07,28.66,3.41
24.52,42.49,3.41
15.76,14.89,1.6
19.56,30.04,3.69
16.36,26.05,3.27
23.3,39.93,1.61
22.6,31.45,5.31
10.31,8.08,1.52
18.21,27.6,9.93
18.17,27.59,3.29
13.73,16.16,4.62
23.86,42.71,1.51
21.39,37.37,2.03
16.42,24.16,1.77
12.9,16.87,4.72
29.34,49.5,4.56
16.44,26.29,2.05
19.57,31.83,3.71
17.74,29.5,2.72
13.07,13.74,8.74
22.72,35.65,2.29
27.08,49.56,5.95
27.38,47.58,2.05
19,31.01,7.37
15.25,20.42,1.54
18.49,29.5,1.57
25.19,44.68,1.58
17.25,27.18,4
24.53,40.51,2.55
25.31,43.82,2.71
17,25.58,8.23
14.13,18.75,2.28
19.01,30.47,2.95
19.01,30.84,9.69
20.66,30.01,3.13
18.38,29.51,7.42
24.95,40.87,3.15
