price,duration,wait_time
18.72,30.74,7.21
24.27,38.32,4.15
24.44,39.79,3.06
19.15,24.87,4.49
5.92,3.14,6.7
24.13,39.02,2.87
23.03,35.91,4.66
16.15,24.74,6.62
16.72,25.11,1.84
18.06,27.37,3.28
21.2,31.77,3.04
13.92,17.15,2.43
20.94,33.8,1.96
22.12,37.44,2.62
17.91,27.59,6.35
25.39,40.47,6.04
21.11,35.47,13.96
18.22,25.89,6.01
17.92,27.14,1.99
20.34,27.93,2.71
19.19,27.37,6.77
26.74,40.48,3.29
25.44,42.45,9.48
19.97,32.6,8.19
19.15,31.41,1.56
21.13,32.74,3.07
14.7,22.39,1.98
27.72,45.32,15.94
23.4,34.91,10.7
14.44,17.87,4.33
16.99,25.9,2.58
23.29,36.42,2.15
15.83,25.2,12.93
22.07,31.02,2.69
27.56,49.24,4.27
15.56,17.54,5.08
18.71,27.33,7.58
22.33,36.37,1.53
20.88,33.9,6.8
25,42.86,4.52
26.5,44.74,2.16
25.62,41.54,4.94
11.65,13.53,4.75
16.71,26.35,2.77
18.99,32.25,5.53
18.17,27.06,2.72
11.91,17.83,10.65
15.86,25.24,1.7
25.09,43.36,6.83
27.33,45.2,3.18
23.2,40.27,14.13
14.06,16.7,1.67
14.32,16.32,2.83
22.54,37.74,1.62
14.05,18.11,3.28
19.05,31.04,2.88
18.63,26.78,2
15.51,22.09,6.53
20.26,27.37,6.33
19.86,32.71,1.9
19.9,28.49,5.93
12.53,12.89,5.28
15.95,22.04,4.8
20.47,29.85,5.97
23.21,34.98,7.08
21.47,33.15,1.95
18.5,29.5,2.73
19.37,31.53,2.63
18.87,28.55,6.56
15.66,19.6,3.52
17.73,26.7,4.5
10.28,11.88,4.41
14.61,17.93,1.94
25.52,41.69,3.42
20.33,32.89,3.31
18.37,28.1,11.22
25.55,39.71,6.87
17.72,25.56,2.06
24.77,41.12,1.73
17.04,25.02,1.65
15.5,20.85,4.43
18.75,25.25,2.85
17.1,29.14,4.44
14.23,19.77,5.85
19.25,31.19,4.13
15.97,21.08,2.11
20,31.75,5.19
14.96,22,13.38
19.76,27.88,2.26
22.15,33.84,1.54
23.32,38.69,2.36
20.8,29.94,14.59
18.99,28.26,4.26
20.18,31.76,1.77
14.3,20.86,1.93
24.1,36.47,1.81
22.25,37.36,2.19
16.95,23.11,2.44
23.87,43.96,3.05
15.4,19.85,7.44
