price,duration,wait_time
25.74,44.04,3.55
15.41,19.71,7.28
16.44,23.03,4.92
11.49,15.87,5.69
12.7,14.83,5.12
19.75,29.89,10.33
19.22,31.76,4.14
12.58,15.21,10.29
19.43,31.81,10.16
14.11,15.37,3.39
10.51,8.91,3.34
12.47,17.44,1.64
12.19,13.12,3.28
21.63,36.97,2.35
10.88,13.59,1.82
13.87,18.57,4.37
27.05,46.78,4.3
23.26,39.39,16.4
18.7,29.56,2.86
8.85,7.46,2.5
22.51,36.5,6.03
18.78,26.62,6.82
16.01,24.13,3.47
15.24,21.19,3.7
13.74,13.05,3.76
17.86,27.86,4.47
20.48,32.33,4.44
16.95,26.96,7.72
24.76,43.76,3.67
14.48,23.42,5.99
18.09,26.96,9.23
24.48,35.54,14.86
22.34,41.93,7.11
26.42,45.2,2.54
19.31,29.77,6.46
18.81,27.51,2.75
19.89,27.53,14.55
15.63,21.77,4.1
18.73,29.22,1.75
17.73,26.63,1.85
11.06,13.2,6.56
17.61,27.59,5.6
14.44,19.45,2.55
27.96,44.8,2.91
15.12,20.99,10.58
20.24,31.77,1.98
18.31,28.49,9.47
22.31,33.7,1.68
18.82,32.15,9.51
13.55,19.23,5.08
21.64,28.38,3.7
22.54,35.86,2.42
18.83,31.14,1.64
16.27,25.86,7.29
22.32,33.01,3.37
26.51,43.15,2.07
18.2,28.09,3.83
15.34,23.2,1.71
16.34,21.01,3.82
18.48,30.85,3.98
28.46,49.42,5.6
19.51,27.67,8.04
25.68,44.73,3.53
22.35,37.38,1.63
21.14,35.56,5.94
19.19,30.86,2.38
18.56,30.28,3.27
20.35,32.34,3.15
18.09,26.05,2.97
18.2,25.99,2.14
13.05,16.14,1.7
11.74,16.84,5.92
19.61,32.4,3.24
25.52,41.69,3.42
16.07,28.24,4.4
13.55,14.64,6.61
16.11,28.93,1.7
24.8,44.99,2.35
17.6,27.58,3.37
22.8,38.96,1.77
25.04,41.31,1.57
24.7,43.5,7.93
25.29,39.81,4.18
12.53,14.27,2.11
18.75,27.16,1.92
8.92,6.15,3.17
16.41,23.25,2.52
18.23,27.33,10.81
23.29,38.68,1.58
23.24,38.55,3.93
14.23,17.23,2.23
22.64,37.39,1.99
24.14,38.05,6.6
14.14,17.42,6.36
26.6,44.8,5.19
17.03,27.02,2.74
18.01,28.68,6.35
19.05,23.9,2.34
25.88,44.79,6.27
24.61,41.46,5.89
